Weight,Height
136.3881,70.98567
129.2539,68.02723
125.2597,65.82659
124.229,69.30638
138.3646,66.25985
121.1851,67.35007
156.0098,70.33575
128.1108,69.03953
140.6029,69.32626
121.2675,67.11686
143.4441,67.96735
128.3993,70.20798
132.1344,69.09575
130.276,67.32842
126.6289,67.57214
121.5747,67.48418
142.602,67.43897
136.0619,70.60461
116.3116,69.67131
134.0923,68.79333
140.4769,68.6349
128.7257,66.747
140.7871,67.88882
125.8938,67.2596
117.8449,66.72282
108.0979,63.72796
128.0214,67.57522
139.5001,69.42324
128.4317,67.42113
128.6576,69.55405
136.0476,68.10755
135.1862,70.91036
117.3195,67.535
132.1382,68.98823
135.4497,65.828
124.8061,64.87945
133.2315,68.02627
129.5454,66.48368
114.874,68.02029
125.2642,69.4901
127.6308,69.58713
128.6734,70.01705
134.9464,68.28885
128.2972,68.65246
129.3739,65.70769
133.9713,70.41426
114.3175,66.89627
133.4793,69.1823
137.2361,68.80486
161.8504,69.21155
111.6101,64.35037
134.1679,70.26517
122.5547,69.56064
120.5505,65.5203
123.7836,69.15769
138.799,69.66405
131.769,67.44392
148.232,67.8289
131.8266,69.59938
115.2855,67.51364
139.2101,73.03159
118.8058,64.51111
147.5768,69.88715
128.6246,71.0594
118.9781,66.13664
147.0122,68.92441
139.1363,69.72196
132.05,68.76197
127.2087,70.53243
113.9093,66.13778
125.6656,67.43917
133.1832,65.85657
126.6363,67.41715
114.9553,68.04343
140.3633,67.46147
139.5134,71.45905
136.4678,70.03432
137.1923,66.67824
123.3291,69.72584
119.3911,68.9367
131.0409,69.55646
127.2278,68.60903
129.0941,66.65147
132.0704,69.74899
103.6524,66.28759
121.4187,65.4048
125.4301,67.43504
111.9679,66.8601
104.6335,67.42077
98.53013,66.83403
109.922,67.45638
127.7844,68.39069
122.7165,68.10474
116.7826,67.35962
117.5358,67.93121
137.3313,69.00845
126.8991,66.98731
142.4036,69.13794
119.0381,69.79289
128.3377,68.63362
133.8128,65.68681
139.3538,68.03586
115.2544,68.56161
130.3495,65.31821
115.5331,67.54969
110.3166,64.9513
104.1348,62.26498
142.0848,67.05169
132.518,69.42594
121.5039,66.76908
134.4056,67.59811
126.3347,67.74663
137.2302,68.95289
140.5278,70.92726
131.3532,67.5076
133.6869,68.09779
130.3382,66.72497
130.9928,68.17851
148.6245,69.70107
140.4349,69.81542
114.3901,69.17806
106.7127,67.5213
126.1848,65.07932
118.194,65.76272
120.523,67.38848
128.3819,66.55762
139.317,69.23117
137.9738,67.97129
132.3038,68.50282
129.8084,66.11285
119.2646,68.29893
114.2571,66.43765
148.605,69.81484
148.6468,70.8647
124.5929,70.65
117.1383,66.3832
138.0883,65.39059
119.2431,63.60936
139.949,68.41909
140.8926,67.5536
127.7977,67.57167
134.612,69.75543
115.7997,65.97912
127.4906,69.82973
137.5393,68.25923
123.8685,68.52437
120.3718,67.44386
121.4659,68.81971
106.6431,67.6395
121.3981,67.13938
128.4577,67.68633
123.2179,67.06687
127.2213,65.7778
119.1833,65.89887
131.6767,67.07721
141.4488,71.12368
137.6262,69.35961
131.0639,69.07129
136.7567,68.52627
128.2922,67.1445
113.533,67.88215
100.1102,64.0373
136.41,67.57486
135.0577,69.77337
148.6195,68.60777
121.8647,64.55533
116.8535,66.06962
136.1466,67.95484
124.2873,67.37979
136.9687,67.90461
114.3628,69.82622
123.4614,66.25075
125.4319,67.49232
138.7552,68.89903
148.3492,68.22911
121.5691,67.01689
135.4663,70.22735
133.0016,66.58757
148.0778,70.5615
117.798,68.93279
150.3723,69.06889
125.8678,68.51969
126.0578,64.25367
139.7416,71.94301
129.4594,70.01068
129.8031,69.18761
132.6303,69.14814
127.9961,67.04657
147.6741,71.45121
119.9798,64.21518
135.4905,69.94629
132.4525,70.26145
132.7108,69.17309
130.1606,67.97198
131.3612,66.57066
115.1897,69.86779
97.71783,66.85479
126.6111,69.74719
132.2651,65.94489
103.3388,65.87931
101.6749,64.62128
130.3597,68.54834
123.939,67.92111
112.4801,67.67285
127.8311,69.00279
126.3484,70.04797
142.3712,71.35258
136.8046,71.06775
124.1371,68.82243
118.8369,67.96857
124.9371,68.05889
130.9467,67.93692
127.8837,69.45398
145.4692,71.28182
134.3376,67.69446
140.9563,71.04547
130.1958,67.17175
135.5123,67.73543
149.0303,68.89435
135.7274,68.96831
123.8383,68.46784
136.1145,69.39747
133.4028,68.49673
109.1885,64.99401
109.8925,67.55392
135.3121,66.39846
124.4382,68.87766
115.4819,68.08728
113.0279,67.6748
116.9069,68.36341
112.2191,66.15639
138.7619,69.94863
123.382,68.68161
108.7335,65.57366
124.634,67.47088
126.6553,65.41412
120.7258,66.94215
128.6122,67.65712
128.6303,64.65079
134.5557,69.62877
96.55141,68.3735
122.2144,70.59634
121.6048,65.95534
124.7321,66.77646
112.2217,68.33367
114.194,65.34891
138.6245,70.0911
128.6963,66.96985
109.8168,69.5545
136.2548,68.5107
114.7828,67.75916
156.6534,67.28528
135.7604,69.10551
118.1827,70.04724
130.4773,67.97214
100.1129,64.98386
125.9502,67.57048
107.5697,65.91465
140.7773,70.47111
126.2727,67.52349
134.877,68.45395
106.1401,67.41775
136.4734,67.70655
148.1379,71.462
128.8244,66.73324
105.9096,64.50386
127.3691,69.11294
129.7479,69.38115
127.2209,68.33484
126.0557,69.29735
135.6956,68.37994
134.9102,68.96454
133.6584,70.49134
134.172,70.57015
115.3811,66.48853
131.6692,69.71507
137.2034,69.58669
121.9887,68.9727
121.0738,68.12075
127.1409,69.27581
123.5561,66.76377
124.3837,67.67916
141.5574,66.03738
134.7204,67.83577
124.3957,68.4144
116.7193,67.89829
140.3597,70.43392
133.9186,69.20164
134.4443,68.95842
125.6241,68.42838
151.5456,70.98873
144.3687,67.32737
108.1511,68.48893
113.2208,68.6021
123.9034,68.81368
125.3918,70.77293
123.5229,64.76018
131.4882,69.93755
136.6536,66.73936
140.237,69.99554
139.2643,69.93809
140.7663,68.76645
122.8422,65.93075
110.0107,65.71357
135.7896,69.81803
122.6465,65.60202
110.6967,69.04719
116.5191,71.79083
130.9999,65.47357
121.2454,68.56939
113.1476,67.3586
118.5719,69.31713
140.9153,68.04311
140.6903,70.58559
116.2507,65.81808
130.3794,69.49135
121.8022,67.24822
126.7836,67.92553
153.1035,70.37417
126.1286,67.27196
143.7516,71.48238
137.9851,68.10255
114.8164,67.81752
100.9189,64.53079
122.4382,66.93004
128.7442,67.74549
144.9266,69.06341
131.0403,68.05135
113.4175,65.22274
132.1285,70.59627
123.53,66.67924
112.9607,67.09362
132.3745,67.34935
117.2967,68.25905
141.4801,71.51413
136.2781,69.19176
119.5382,68.85149
118.6002,62.68591
126.4631,68.93339
131.0701,66.81582
119.6506,68.82523
111.5895,67.79889
131.7029,70.56176
109.2093,63.76528
123.393,68.69047
133.2161,68.5612
135.1969,65.9104
154.9778,69.50434
103.3397,67.01715
112.6464,67.42555
123.7655,69.80123
142.1629,69.35558
134.6446,69.40991
124.156,68.14932
136.9491,67.49197
116.3515,67.83128
136.024,66.88311
112.1413,66.16765
148.7264,68.34192
115.6665,68.47918
126.2502,64.1332
137.5824,69.76909
128.4015,67.87052
122.6266,65.65317
127.845,69.10982
146.6532,70.2136
116.4182,68.12511
127.5322,69.1089
118.1504,68.13285
125.8468,68.15041
125.7108,67.31379
120.302,67.00484
136.9514,67.77523
124.8842,67.94501
107.795,69.49863
138.8638,69.69959
125.7504,69.73603
110.6978,67.035
106.0953,68.55387
118.1357,67.66663
130.5155,68.19234
125.6357,67.83603
121.2924,65.6042
135.705,70.79237
130.6877,65.90734
133.5585,67.40279
126.5715,69.0652
125.1982,67.07127
120.7703,67.34987
136.4152,69.87618
120.8313,68.61786
123.3904,67.86452
118.1254,67.18841
128.8423,67.91023
119.5715,67.88438
110.7671,68.44835
133.9166,68.91398
134.2708,66.93704
136.7816,67.98509
118.9982,68.2376
110.5575,67.13801
135.8541,69.36053
119.0039,70.23741
128.7848,69.67473
119.5814,67.02658
109.6164,67.08012
122.2987,66.45348
144.1873,67.14627
124.2064,68.5299
131.4399,68.18035
129.5663,69.18019
109.4756,68.15579
125.4961,68.08451
117.7697,69.12967
108.8434,65.66134
137.9539,66.8266
125.9379,67.976
126.662,68.6367
119.4097,68.20125
108.9388,66.30752
135.9253,68.67523
133.3227,70.75177
116.5433,69.90591
127.443,67.49121
126.7096,69.43309
119.9884,66.64931
122.7744,67.25339
116.5472,70.0799
124.8544,67.30768
139.9568,68.90363
134.4678,67.79094
141.1502,70.02139
113.6042,65.08493
143.7361,68.00621
144.9316,72.3989
132.585,67.83748
105.2162,65.7028
140.611,70.01957
116.6834,67.87733
122.3103,70.66031
131.7426,69.84654
123.8231,67.08101
120.8464,68.19996
117.481,66.47189
120.6077,67.35479
124.8289,68.02985
117.4798,64.52777
104.3111,64.72981
118.3695,66.31479
129.8202,69.28443
139.6485,68.38512
121.7782,68.48504
123.0627,69.8409
114.0904,69.00164
156.2682,67.46717
132.7862,68.50704
128.4227,67.54149
123.0582,69.81014
139.2419,70.30911
140.173,69.1204
136.6,71.55865
117.8046,67.95604
123.2158,67.67595
106.8189,67.08059
126.5004,67.36378
126.8437,70.55218
119.5574,68.21612
125.9951,68.7151
124.6736,66.02245
132.4732,68.03719
118.7315,70.51604
144.5009,70.10402
82.38298,66.56804
108.8379,65.94065
127.2815,66.38829
136.3496,67.30654
127.6108,66.90193
137.002,67.13761
143.9311,68.93483
118.8796,67.95125
148.1097,72.47908
123.3728,65.52562
146.246,69.32351
100.6414,65.6099
126.8121,68.6201
127.348,71.50024
115.2416,66.67496
129.1676,66.73827
128.3665,67.26376
139.7124,69.70493
111.8786,69.81408
155.8277,69.24356
110.0774,63.65376
137.1865,67.32789
132.4999,68.6961
120.2693,66.62465
142.7088,69.65054
137.7905,69.0893
110.8487,66.75728
106.9734,66.06512
115.4981,66.00171
101.3046,68.70707
136.4906,69.29616
138.3325,68.68899
141.9455,69.36066
133.633,71.21016
152.795,70.61617
131.846,66.60166
109.3417,63.46025
120.0755,66.80019
123.1536,69.89469
134.4459,66.03755
131.8303,69.79279
119.6221,67.67011
127.661,68.61358
119.9302,67.29594
126.1776,68.06416
133.3623,67.08852
133.1829,67.22083
121.9621,68.52246
126.6402,69.21039
125.7575,68.11211
128.2476,69.80387
108.2215,64.30007
135.8275,67.06097
108.0972,65.65425
137.8075,71.03311
121.9512,67.66624
121.2757,65.33739
124.4711,69.54907
109.1739,67.45198
110.1037,67.84408
122.6883,69.48408
122.6215,66.19564
125.7875,68.96582
122.4138,68.91695
115.731,67.15888
126.434,67.34512
131.0691,68.00353
115.6045,68.05897
130.4915,67.12385
123.1214,68.24874
132.9338,70.06522
119.1866,67.50053
131.2341,69.12516
137.1193,69.0494
120.0164,67.66576
124.9586,69.54628
135.0333,68.28689
112.8113,69.39337
120.8673,67.30725
139.0949,68.34316
143.8781,70.90294
99.60932,64.06894
121.3802,67.2224
137.2314,68.69563
120.2833,66.13861
137.3543,69.54627
125.3429,66.14098
151.2378,70.63782
125.3728,70.03612
122.2741,67.57137
107.3063,66.91088
120.8614,66.91607
137.1089,68.68646
132.9201,66.02934
113.7439,67.42776
134.3583,69.3031
121.6875,69.24989
133.0703,68.89261
126.9811,68.86091
134.0201,71.90873
129.7587,68.26643
113.153,66.59322
118.9106,66.0497
127.3332,68.50987
137.0653,66.95287
146.9723,71.03063
115.9351,63.58121
105.0288,63.76497
150.2475,69.72296
117.7307,65.84023
131.0053,70.61722
128.8345,66.82089
145.6238,69.07869
137.2053,68.57406
145.0337,71.25702
119.5434,67.41157
128.9336,68.96896
104.2914,70.51128
126.2567,66.62109
135.6492,68.26107
133.5514,69.25005
138.3137,70.66498
131.5456,67.44799
142.5544,70.61052
136.4888,69.05707
127.1593,69.5556
119.5829,65.79335
119.1438,68.90813
129.2224,65.86615
136.0158,67.75381
133.622,66.97192
138.6191,67.12818
112.7006,68.03631
132.689,69.2586
116.5423,64.37881
128.0676,69.10476
141.9627,70.68086
137.2342,69.89281
95.95417,63.33113
149.8839,69.87096
159.6344,70.82192
122.306,66.07971
114.7871,71.10476
117.2339,68.65665
123.7407,65.5231
119.0934,69.2472
124.0875,70.19913
115.1977,68.23477
127.7892,70.12196
131.6398,66.798
136.7561,68.57737
150.7636,70.78151
134.1977,68.655
116.0917,70.04789
131.8669,67.3824
132.2823,69.704
111.7034,65.43275
135.3133,67.87092
122.774,69.639
137.5292,69.50107
150.9049,70.5769
130.0925,67.32704
122.4746,69.03615
150.0339,70.38448
135.1726,66.86316
124.1244,69.96058
115.1505,66.77948
99.40058,67.50335
132.2101,68.56426
130.1221,70.76528
140.2104,68.32253
116.0598,63.28029
127.717,68.40535
132.7392,70.47769
133.3631,70.92832
121.5013,68.42345
113.1516,68.17552
126.4088,71.41075
138.9673,70.02405
132.7965,70.06857
131.4173,67.87559
132.7242,68.09801
125.6174,67.93416
127.3602,70.56894
114.3648,64.3262
114.3845,67.77195
113.554,67.75367
122.1264,63.71439
120.2482,69.09925
130.2025,69.85179
144.8549,69.44092
148.9104,74.53177
119.6675,66.33132
129.9323,68.81086
139.9604,69.2946
131.3502,71.14495
147.5332,68.97051
120.6693,68.59823
132.5228,69.32375
133.9888,67.18403
101.1775,63.95584
140.5981,67.30139
120.9681,68.32525
116.3494,66.36458
115.7106,67.05441
125.3558,66.72856
127.4447,69.17136
129.8871,66.72634
126.6146,67.53447
125.0381,70.64693
134.1113,68.94919
123.2024,67.44368
133.7593,68.36479
126.6746,66.0173
133.865,66.34051
140.5328,69.11356
146.9803,66.78433
116.5596,64.69758
132.9397,67.88323
140.861,70.79391
128.9386,67.33031
143.136,67.47175
131.7157,71.1465
132.7978,71.09999
117.9554,67.31941
94.40946,65.17339
141.7186,70.79803
150.3874,70.54927
114.2215,68.88799
127.3357,65.19756
126.6348,67.13424
134.6936,70.79421
116.8418,66.08314
122.1483,67.55002
132.8739,67.74689
146.0524,70.05674
144.6262,69.39883
120.1586,69.51891
125.9966,67.9384
135.1763,63.84585
134.0518,68.53891
127.3106,65.58522
97.80735,66.56404
137.2553,67.21341
105.438,67.11996
126.5148,69.32371
118.4966,67.61647
128.6012,69.57478
123.7062,67.84663
122.2566,67.23558
130.9158,69.88379
121.1935,68.99994
123.1076,68.60312
125.3572,68.77791
131.2843,70.55859
117.6823,67.51836
113.9729,67.56651
127.4526,70.44326
97.99816,63.23624
128.5103,66.40576
124.2586,68.15859
123.1365,64.07289
122.4432,68.55598
133.9318,68.43131
104.357,65.87921
128.4557,66.68998
127.8589,65.95774
137.8967,70.30346
120.4668,69.37067
133.2016,67.55136
117.3698,64.66626
132.6795,66.40245
134.9364,70.0332
141.5054,73.06241
107.6256,67.73969
139.7764,69.27968
114.473,64.56023
108.0286,65.17345
106.8072,64.743
161.8532,71.01048
149.3248,69.12531
144.6759,68.90616
134.7518,69.68608
139.6818,70.89186
130.7951,66.75426
112.43,66.84764
142.2755,66.61327
142.8088,66.99191
127.3362,66.95526
123.7754,66.7864
116.3788,65.2558
118.6868,69.03557
116.0167,66.66842
125.0539,68.05827
135.636,69.48675
132.8803,69.11476
126.5902,69.57141
119.3317,68.45513
111.8791,67.61
115.9904,66.36029
126.1772,70.97938
133.6664,66.14233
118.3665,66.30402
139.7222,68.26234
147.5064,67.85823
121.6958,65.5061
121.3583,68.70761
134.5787,71.44954
118.4386,66.66413
130.0576,66.54027
116.3439,67.98947
134.5143,72.54953
134.2033,68.89705
123.3152,66.37489
128.2928,69.7564
129.8237,66.44678
154.4811,71.69485
118.3239,66.08091
119.2852,65.3417
130.828,69.04974
99.42378,65.11765
141.7658,69.44092
123.5755,66.63354
136.6985,69.01315
135.223,67.57383
132.959,67.40523
122.8513,67.01858
115.7491,65.90423
118.6196,70.35191
143.9547,72.35889
135.0866,68.90635
109.4203,68.40219
139.2417,68.51074
128.0522,68.94331
125.6535,67.83501
122.4244,67.62827
121.2228,67.79448
154.7821,69.17056
126.585,67.9537
113.0611,64.22634
133.888,68.9995
131.1211,68.21355
122.7164,67.77936
138.3443,67.83418
119.1199,66.69014
104.238,67.54476
117.1596,68.02864
134.0241,69.83059
120.2857,66.76934
132.2209,70.14626
106.3021,68.92465
133.8436,69.11543
133.2403,66.43732
124.7422,68.46555
128.061,66.34781
124.5938,66.7366
130.3096,66.08128
115.0486,66.55957
127.4722,69.08296
115.7477,63.61791
126.6102,65.37753
122.9844,67.4972
123.2849,68.70055
125.5928,71.32072
123.7128,65.57216
123.2446,66.19147
115.418,70.06322
108.7178,67.24989
141.5823,69.624
120.8863,66.7896
154.4399,69.79922
107.3901,66.30104
118.7207,68.36249
111.4911,63.77967
127.7214,67.58699
133.9126,69.71587
120.8176,68.81291
142.8494,68.86794
103.381,66.10137
141.237,70.11839
125.3672,69.97767
128.284,71.91656
146.1936,70.96218
118.7974,66.19462
127.6603,67.21126
118.0312,69.50215
120.1932,64.54826
118.2655,64.69855
132.2682,67.52918
124.874,68.87761
