BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Fave Realty Inc;House for sale;589000;3;2.0;1120.0;1316 Dumont Ave;Brooklyn, NY 11208;1316 Dumont AveBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Dumont Avenue;1316 Dumont Ave, Brooklyn, NY 11208, USA;40.6697595;-73.8692311
Brokered by RE MAX Real Estate Professionals;Co-op for sale;239000;1;1.0;700.0;1720 E 13th St Apt 1C;Brooklyn, NY 11229;1720 E 13th St Apt 1CBrooklyn, NY 11229;New York;Kings County;Brooklyn;Homecrest;1720;1720 E 13th St #1c, Brooklyn, NY 11229, USA;40.6073781;-73.9601827
Brokered by Century Homes Realty Group LLC;Co-op for sale;385000;1;1.0;2184.207862;35-40 82nd St Unit 2A;Jackson Heights, NY 11372;35-40 82nd St Unit 2AJackson Heights, NY 11372;New York;Queens County;Queens;Flushing;35-40;35-40 82nd St #2a, Flushing, NY 11372, USA;40.7505242;-73.8847507
Brokered by Sotheby's International Realty - Downtown Manhattan;Condo for sale;1000000;1;1.0;773.0;18 W 48th St Apt 9C;New York, NY 10036;18 W 48th St Apt 9CNew York, NY 10036;New York;New York County;New York;Manhattan;18;18 W 48th St #9c, New York, NY 10036, USA;40.7574596;-73.9793586
Brokered by COMPASS;Pending;2800000;5;4.0;3400.0;232 Argyle Rd;Brooklyn, NY 11218;232 Argyle RdBrooklyn, NY 11218;United States;New York;Kings County;Brooklyn;Argyle Road;232 Argyle Rd, Brooklyn, NY 11218, USA;40.6435168;-73.9669556
Brokered by All Area Brokerage Inc;Co-op for sale;130000;3;1.0;2184.207862;87-15 165th St Unit 4B;Jamaica, NY 11432;87-15 165th St Unit 4BJamaica, NY 11432;New York;Queens County;Queens;Jamaica;87-15;87-15 165th St #4b, Jamaica, NY 11432, USA;40.7104509;-73.7982064
Brokered by DiTommaso Real Estate;Contingent;789888;4;2.0;1865.0;600 Annadale Rd;Staten Island, NY 10312;600 Annadale RdStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Annadale Road;600 Annadale Rd, Staten Island, NY 10312, USA;40.5476973;-74.1752129
Brokered by EXP Realty;House for sale;798000;3;2.0;760.0;58-13 Waldron St;Corona, NY 11368;58-13 Waldron StCorona, NY 11368;United States;New York;Queens County;Queens;Waldron Street;58-13 Waldron St, Flushing, NY 11368, USA;40.7392555;-73.8523054
Brokered by Douglas Elliman - 575 Madison Ave;Co-op for sale;495000;1;1.0;2184.207862;54 E 1st St Apt 2C;New York, NY 10003;54 E 1st St Apt 2CNew York, NY 10003;New York;New York County;New York;Manhattan;54;54 E 1st St #2c, New York, NY 10003, USA;40.7238926;-73.9893733
Brokered by B Square Realty;Condo for sale;555000;1;1.0;649.0;158-15 Union Tpke Unit 411N;Fresh Meadows, NY 11366;158-15 Union Tpke Unit 411NFresh Meadows, NY 11366;New York;Queens County;Queens;Flushing;15815;15815 Union Tpke #411n, Flushing, NY 11366, USA;40.7206509;-73.808539
Brokered by Sotheby's International Realty - Downtown Manhattan;Co-op for sale;1274000;3;2.0;2184.207862;111 E 36th St # 5AB;New York, NY 10016;111 E 36th St # 5ABNew York, NY 10016;New York;New York County;New York;Manhattan;111;111 E 36th St #5a, New York, NY 10016, USA;40.7482245;-73.9795398
Brokered by Prime Realty;Co-op for sale;349000;2;1.0;2184.207862;83-75 118 St Unit 2I;Kew Gardens, NY 11415;83-75 118 St Unit 2IKew Gardens, NY 11415;New York;Queens County;Queens;Jamaica;83-75;83-75 118th St #2i, Jamaica, NY 11415, USA;40.7052273;-73.8336358
Brokered by Corcoran Park Slope;House for sale;2500000;3;2.3738608579684373;2184.207862;1203 8th Ave;Brooklyn, NY 11215;1203 8th AveBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;8th Avenue;1203 8th Ave, Brooklyn, NY 11215, USA;40.6637132;-73.9806843
Brokered by Brown Harris Stevens - 129 Montague Street;Pending;1250000;1;1.0;2184.207862;17 W 10th St Apt 3N;Manhattan, NY 10011;17 W 10th St Apt 3NManhattan, NY 10011;New York;New York County;New York;Manhattan;17;17 W 10th St #3b, New York, NY 10011, USA;40.7340094;-73.9963862
Brokered by Brown Harris Stevens;Townhouse for sale;2495000;8;8.0;5374.0;211 W 252nd St Unit Townhouse;Bronx, NY 10471;211 W 252nd St Unit TownhouseBronx, NY 10471;United States;New York;Bronx County;The Bronx;West 252nd Street;211 W 252nd St, Bronx, NY 10471, USA;40.8980177;-73.8977004
Brokered by Exp Realty;Co-op for sale;749900;3;1.0;830.0;51 W 106th St Apt 3D;New York, NY 10025;51 W 106th St Apt 3DNew York, NY 10025;New York;New York County;New York;Manhattan;51;51 W 106th St #3d, New York, NY 10025, USA;40.798921;-73.961553
Brokered by Jm Properties;House for sale;1399900;4;4.0;3149.0;292 Raritan Ave;Staten Island, NY 10305;292 Raritan AveStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Raritan Avenue;292 Raritan Ave, Staten Island, NY 10305, USA;40.5900537;-74.0906619
Brokered by KMS Realty Group, Inc.;Condo for sale;948888;2;2.0;950.0;115 96th St Apt 6A;Brooklyn, NY 11209;115 96th St Apt 6ABrooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;115;115 96th St #6a, Brooklyn, NY 11209, USA;40.6163216;-74.0374941
Brokered by Howard Hanna Coach Realtors - Williston Park;Pending;775000;4;2.0;1230.0;92-19 241st St;Bellerose, NY 11426;92-19 241st StBellerose, NY 11426;United States;New York;Queens County;Queens;241st Street;92-19 241st St, Jamaica, NY 11426, USA;40.7258337;-73.7268795
Brokered by American Dream Homes Realty Inc;House for sale;475000;3;2.0;1280.0;912 Cranford Ave;Bronx, NY 10466;912 Cranford AveBronx, NY 10466;United States;New York;Bronx County;The Bronx;Cranford Avenue;912 Cranford Ave, Bronx, NY 10466, USA;40.9034885;-73.8435964
Brokered by COMPASS;Condo for sale;2595000;3;3.0;1449.0;200 E 94th St Apt 2610;Manhattan, NY 10128;200 E 94th St Apt 2610Manhattan, NY 10128;New York;New York County;New York;Manhattan;200;200 E 94th St APT 2610, New York, NY 10128, USA;40.7833546;-73.9499982
Brokered by Robert Defalco Realty, Inc.;Multi-family home for sale;1199000;3;1.0;2726.0;354 Buel Ave;Staten Island, NY 10305;354 Buel AveStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Buel Avenue;354 Buel Ave, Staten Island, NY 10305, USA;40.5837427;-74.0909372
Brokered by COMPASS;Condo for sale;750000;1;1.0;654.0;129 Meserole St Apt 3B;Brooklyn, NY 11206;129 Meserole St Apt 3BBrooklyn, NY 11206;New York;Kings County;Brooklyn;Southside;129;129 Meserole St #3b, Brooklyn, NY 11206, USA;40.708157;-73.944452
Brokered by E House Realty & Mgt. Inc.;Condo for sale;713000;2;2.0;1040.0;217 Bay 49th St Unit 3A;Brooklyn, NY 11214;217 Bay 49th St Unit 3ABrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;217;217 Bay 49th St #3a, Brooklyn, NY 11214, USA;40.5855131;-73.9883977
Brokered by Charles Rutenberg Realty Inc;Co-op for sale;300000;1;1.0;2184.207862;64-09 39 Ave Unit 1;Woodside, NY 11377;64-09 39 Ave Unit 1Woodside, NY 11377;New York;Queens County;Queens;Woodside;6409;6409 39th Ave Apt 1, Woodside, NY 11377, USA;40.7464499;-73.89982
Brokered by COMPASS;Co-op for sale;2695000;3;3.0;2184.207862;316 W 79th St Apt 7W;Manhattan, NY 10024;316 W 79th St Apt 7WManhattan, NY 10024;New York;New York County;New York;Manhattan;316;316 W 79th St Apt 7e, New York, NY 10024, USA;40.7843128;-73.9814804
Brokered by Keller Williams Realty Liberty;Co-op for sale;450000;2;2.0;2184.207862;254-15 74 Ave Unit 1ST;Glen Oaks, NY 11004;254-15 74 Ave Unit 1STGlen Oaks, NY 11004;New York;Queens County;Queens;Glen Oaks;254-15;254-15 74th Ave #1st, Glen Oaks, NY 11004, USA;40.7475547;-73.718359
Brokered by Corcoran West Side Gallery;Co-op for sale;699000;1;1.0;2184.207862;760 W End Ave Apt 6C;New York, NY 10025;760 W End Ave Apt 6CNew York, NY 10025;New York;New York County;New York;Manhattan;760;760 West End Ave #6c, New York, NY 10025, USA;40.7959993;-73.9723278
Brokered by Garfield, Leslie J. & Co., Inc.;Townhouse for sale;10950000;8;8.0;9555.0;350 W End Ave;New York, NY 10024;350 W End AveNew York, NY 10024;United States;New York;New York County;New York;West End Avenue;350 West End Ave, New York, NY 10024, USA;40.7826176;-73.9820502
Brokered by Daniel Gale Sotheby's International Realty;Co-op for sale;225000;1;1.0;2184.207862;269-10 Grand Central Pkwy Unit 9P;Floral Park, NY 11005;269-10 Grand Central Pkwy Unit 9PFloral Park, NY 11005;United States;New York;Queens County;Queens;Grand Central Parkway;269-10 Grand Central Pkwy, Queens, NY 11005, USA;40.7577974;-73.7159601
Brokered by Douglas Elliman  -111 Fifth Ave;Condo for sale;5925000;3;4.0;2539.0;30 Front St Unit 15A;Brooklyn, NY 11201;30 Front St Unit 15ABrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;30;30 Front St #15a, Brooklyn, NY 11201, USA;40.7022;-73.990838
Brokered by Daniel Gale Sotheby's International Realty;Co-op for sale;225000;1;1.0;2184.207862;269-10 Grand Central Pkwy Unit 9P;Floral Park, NY 11005;269-10 Grand Central Pkwy Unit 9PFloral Park, NY 11005;United States;New York;Queens County;Queens;Grand Central Parkway;269-10 Grand Central Pkwy, Queens, NY 11005, USA;40.7577974;-73.7159601
Brokered by Douglas Elliman  -111 Fifth Ave;Condo for sale;5925000;3;4.0;2539.0;30 Front St Unit 15A;Brooklyn, NY 11201;30 Front St Unit 15ABrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;30;30 Front St #15a, Brooklyn, NY 11201, USA;40.7022;-73.990838
Brokered by Signature Premier Properties;Co-op for sale;255000;1;1.0;2184.207862;245-18 62nd Ave Unit Upper;Little Neck, NY 11362;245-18 62nd Ave Unit UpperLittle Neck, NY 11362;United States;New York;Queens County;Queens;62nd Avenue;245-18 62nd Ave, Douglaston, NY 11362, USA;40.755562;-73.7316684
Brokered by Toscana Property LLC;Multi-family home for sale;2500000;12;2.3738608579684373;4140.0;1694 64th St;Brooklyn, NY 11204;1694 64th StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;64th Street;1694 64th St, Brooklyn, NY 11204, USA;40.6210191;-73.9921739
Brokered by EXIT REALTY FIRST CHOICE;House for sale;2095000;4;4.0;3223.0;166-21 Goethals Ave;Jamaica, NY 11432;166-21 Goethals AveJamaica, NY 11432;United States;New York;Queens County;Queens;Goethals Avenue;166-21 Goethals Ave, Jamaica, NY 11432, USA;40.7200361;-73.8007029
Brokered by Nest Seekers International, Midtown;House for sale;10250000;7;6.0;5200.0;1211 Park Ave;New York, NY 10128;1211 Park AveNew York, NY 10128;United States;New York;New York County;New York;Park Avenue;1211 Park Ave, New York, NY 10128, USA;40.7854792;-73.9528586
Brokered by Corcoran Brooklyn Heights;Co-op for sale;750000;1;1.0;2184.207862;200 Congress St Apt 5D;Brooklyn, NY 11201;200 Congress St Apt 5DBrooklyn, NY 11201;New York;Kings County;Brooklyn;Cobble Hill;200;200 Congress St #5d, Brooklyn, NY 11201, USA;40.6880273;-73.9950123
Brokered by Brown Harris Stevens;Townhouse for sale;2999000;9;8.0;5560.0;1937 Madison Ave Unit Townhouse;Manhattan, NY 10035;1937 Madison Ave Unit TownhouseManhattan, NY 10035;United States;New York;New York County;New York;Madison Avenue;1937 Madison Ave, New York, NY 10035, USA;40.8052328;-73.9407352
Brokered by RE MAX Edge;Co-op for sale;199000;3;1.0;650.0;207 Ocean Pkwy Ste 1H;Brooklyn, NY 11218;207 Ocean Pkwy Ste 1HBrooklyn, NY 11218;New York;Kings County;Brooklyn;Kensington;207;207 Ocean Pkwy Ste 1h, Brooklyn, NY 11218, USA;40.6449836;-73.9738362
Brokered by E Realty International Corp;Multi-family home for sale;1250000;7;3.0;1800.0;2528 West St;Brooklyn, NY 11223;2528 West StBrooklyn, NY 11223;United States;New York;Kings County;Brooklyn;West Street;2528 West St, Brooklyn, NY 11223, USA;40.58761;-73.9698943
Brokered by Brown Harris Stevens;Co-op for sale;2425000;2;2.0;1300.0;50 E 10th St Apt 6B;Manhattan, NY 10003;50 E 10th St Apt 6BManhattan, NY 10003;New York;New York County;New York;Manhattan;50;50 E 10th St #6b, New York, NY 10003, USA;40.731874;-73.9921379
Brokered by Houlihan Lawrence;Pending;205000;1;1.0;660.0;5921 Calloway St Apt 2U;Corona, NY 11368;5921 Calloway St Apt 2UCorona, NY 11368;New York;Queens County;Queens;Corona;5921;5921 Calloway St #2a, Corona, NY 11368, USA;40.7376662;-73.8566546
Brokered by Brown Harris Stevens - 445 Park Avenue;Co-op for sale;2500000;5;6.0;3860.0;870 United Nations Plaza Plz Units 37 & 38C;Manhattan, NY 10017;870 United Nations Plaza Plz Units 37 & 38CManhattan, NY 10017;United States;New York;New York County;New York;United Nations Plaza;870 United Nations Plaza, New York, NY 10017, USA;40.7524819;-73.9654633
Brokered by COMPASS;Co-op for sale;3499000;6;8.0;6000.0;190 E 72nd St Units 23C & 24ABC;Manhattan, NY 10021;190 E 72nd St Units 23C & 24ABCManhattan, NY 10021;United States;New York;New York County;New York;East 72nd Street;190 E 72nd St, New York, NY 10021, USA;40.7698703;-73.9611404
Brokered by Brown Harris Stevens;Co-op for sale;649000;1;2.0;1000.0;45 Sutton Pl S Apt 14G;Manhattan, NY 10022;45 Sutton Pl S Apt 14GManhattan, NY 10022;United States;New York;New York County;New York;Sutton Place South;45 Sutton Pl S, New York, NY 10022, USA;40.7556274;-73.9614685
Brokered by Douglas Elliman - 1995 Broadway;Pending;729000;2;1.0;2184.207862;193 Bleecker St Apt 12B;New York, NY 10012;193 Bleecker St Apt 12BNew York, NY 10012;New York;New York County;New York;Manhattan;193;193 Bleecker St #12b, New York, NY 10012, USA;40.7293904;-74.0013331
Brokered by Instahomes Realty LLC;Multi-family home for sale;998500;3;2.0;2184.207862;929 Rogers Ave;Brooklyn, NY 11226;929 Rogers AveBrooklyn, NY 11226;United States;New York;Kings County;Brooklyn;Rogers Avenue;929 Rogers Ave, Brooklyn, NY 11226, USA;40.6476837;-73.9519338
Brokered by Exp Realty;Multi-family home for sale;765000;4;2.0;1152.0;858 E 223rd St;Bronx, NY 10466;858 E 223rd StBronx, NY 10466;United States;New York;Bronx County;The Bronx;East 223rd Street;858 E 223rd St, Bronx, NY 10466, USA;40.8847302;-73.8563591
Brokered by B Square Realty;Condo for sale;599000;2;2.0;705.0;37-32 89th St Unit 1B;Jackson Heights, NY 11372;37-32 89th St Unit 1BJackson Heights, NY 11372;New York;Queens County;Queens;Flushing;37-32;37-32 89th St #1b, Queens, NY 11372, USA;40.7494499;-73.8778676
Brokered by Brown Harris Stevens;Condo for sale;11500000;5;5.0;5276.0;39 Lispenard St Unit 3RDFLOOR;Manhattan, NY 10013;39 Lispenard St Unit 3RDFLOORManhattan, NY 10013;United States;New York;New York County;New York;Lispenard Street;39 Lispenard St, New York, NY 10013, USA;40.7198832;-74.0033836
Brokered by Douglas Elliman - 575 Madison Ave;Co-op for sale;595000;1;2.0;2184.207862;465 Park Ave Unit 9E;New York, NY 10022;465 Park Ave Unit 9ENew York, NY 10022;New York;New York County;New York;Manhattan;465;465 Park Ave #9e, New York, NY 10022, USA;40.761641;-73.9702246
Brokered by Brown Harris Stevens - 1926 Broadway;Co-op for sale;675000;1;1.0;2184.207862;1270 Fifth Ave Unit 12J;Manhattan, NY 10029;1270 Fifth Ave Unit 12JManhattan, NY 10029;New York;New York County;New York;Manhattan;1270;1270 5th Ave Apt 12h, New York, NY 10029, USA;40.7957847;-73.9498024
Brokered by Robert DeFalco Realty, Inc.;Multi-family home for sale;949000;8;3.0;3500.0;90 Fillmore St;Staten Island, NY 10301;90 Fillmore StStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Fillmore Street;90 Fillmore St, Staten Island, NY 10301, USA;40.6445278;-74.0913961
Brokered by New Group Realty Inc;Condo for sale;729000;2;2.0;950.0;149-06 Northern Blvd Unit 303;Flushing, NY 11354;149-06 Northern Blvd Unit 303Flushing, NY 11354;New York;Queens County;Queens;Flushing;14906;14906 Northern Blvd # 303, Flushing, NY 11354, USA;40.7650102;-73.8167757
Brokered by The Agency;Contingent;895000;2;1.0;520.0;321 W 82nd St Apt 8;New York, NY 10024;321 W 82nd St Apt 8New York, NY 10024;New York;New York County;New York;Manhattan;321;321 W 82nd St APT 8, New York, NY 10024, USA;40.7868879;-73.9805511
Brokered by Global Realty Center LLC;Multi-family home for sale;2449000;3;2.3738608579684373;3000.0;46 Pulaski St;Bedford Stuyvesant, NY 11206;46 Pulaski StBedford Stuyvesant, NY 11206;United States;New York;Kings County;Brooklyn;Pulaski Street;46 Pulaski St, Brooklyn, NY 11206, USA;40.6921191;-73.9498754
Brokered by Moorstone Real Estate;Co-op for sale;399999;2;1.0;2184.207862;83-80 118th St Unit 5E;Kew Gardens, NY 11415;83-80 118th St Unit 5EKew Gardens, NY 11415;New York;Queens County;Queens;Kew Gardens;83-80;83-80 118th St #5e, Queens, NY 11415, USA;40.7047878;-73.8344551
Brokered by Winzone Realty Inc;Co-op for sale;397000;2;1.0;1000.0;84-20 51 Ave Unit 2B;Elmhurst, NY 11373;84-20 51 Ave Unit 2BElmhurst, NY 11373;New York;Queens County;Queens;Elmhurst;84-20;84-20 51st Ave #2b, Elmhurst, NY 11373, USA;40.7381747;-73.8785246
Brokered by Homes R Us Realty of NY, Inc.;Townhouse for sale;950000;2;1.0;1800.0;219 26th St;Brooklyn, NY 11232;219 26th StBrooklyn, NY 11232;United States;New York;Kings County;Brooklyn;26th Street;219 26th St, Brooklyn, NY 11232, USA;40.6594527;-73.9975913
Brokered by Sotheby's International Realty - Downtown Manhattan;Condo for sale;3995000;4;3.0;2578.0;171 W 57th St Apt 8C;New York, NY 10019;171 W 57th St Apt 8CNew York, NY 10019;New York;New York County;New York;Manhattan;171;171 W 57th St #8c, New York, NY 10019, USA;40.7655712;-73.979561
Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC;Co-op for sale;599000;1;1.0;780.0;8901 Shore Rd Apt 7E;Brooklyn, NY 11209;8901 Shore Rd Apt 7EBrooklyn, NY 11209;Kings County;Brooklyn;Fort Hamilton;Shore Road;Harbor View Towers;Harbor View Towers, 8901 Shore Rd #7e, Brooklyn, NY 11209, USA;40.6230753;-74.0403471
Brokered by Douglas Elliman - 936 Broadway;Condo for sale;1999999;4;3.0;2729.0;50 Pine St Apt 2;New York, NY 10005;50 Pine St Apt 2New York, NY 10005;New York;New York County;New York;Manhattan;50;50 Pine St APT 2, New York, NY 10005, USA;40.7069134;-74.0085778
Brokered by Corcoran East Side;Co-op for sale;3370000;2;2.0;2184.207862;20 E 9th St # 14J;New York, NY 10003;20 E 9th St # 14JNew York, NY 10003;New York;New York County;New York;Manhattan;20;20 E 9th St #14j, New York, NY 10003, USA;40.7321377;-73.9947952
Brokered by Garfield, Leslie J. & Co., Inc.;Townhouse for sale;6995000;4;5.0;4187.0;92 Amity St;Brooklyn, NY 11201;92 Amity StBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Amity Street;92 Amity St, Brooklyn, NY 11201, USA;40.6894191;-73.9977098
Brokered by Maureen Folan R E Group Llc;House for sale;1598000;4;4.0;2184.207862;63-31 136 St;Flushing, NY 11367;63-31 136 StFlushing, NY 11367;United States;New York;Queens County;Queens;136th Street;63-31 136th St, Flushing, NY 11367, USA;40.7392152;-73.8301205
Brokered by Tri State Han Mi Realty Inc;Condo for sale;699000;2;2.0;1030.0;147-48 Roosevelt Ave Unit 2C;Flushing, NY 11354;147-48 Roosevelt Ave Unit 2CFlushing, NY 11354;New York;Queens County;Queens;Flushing;147-48;147-48 Roosevelt Ave #2c, Flushing, NY 11354, USA;40.7627559;-73.8168695
Brokered by eXp Realty BKNY;Co-op for sale;265000;3;1.0;650.0;3101 Ocean Pkwy Apt 6T;Brooklyn, NY 11235;3101 Ocean Pkwy Apt 6TBrooklyn, NY 11235;New York;Kings County;Brooklyn;Brighton Beach;3101;3101 Ocean Pkwy #6c, Brooklyn, NY 11235, USA;40.5757325;-73.9679335
Brokered by Bright Horizons Realty Inc;House for sale;1699000;5;3.0;2488.0;134 Beaumont St;Brooklyn, NY 11235;134 Beaumont StBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Beaumont Street;134 Beaumont St, Brooklyn, NY 11235, USA;40.5786214;-73.9515728
Brokered by Maureen Folan R E Group Llc;Pending;1098000;4;4.0;2184.207862;213-07 28th Ave;Bayside, NY 11360;213-07 28th AveBayside, NY 11360;United States;New York;Queens County;Queens;28th Avenue;213-07 28th Ave, Flushing, NY 11360, USA;40.7770737;-73.7760771
Brokered by Elegran Real Estate And Development;Contingent;960000;1;1.0;834.0;133 Water St Apt 12D;Brooklyn, NY 11201;133 Water St Apt 12DBrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;133;133 Water St #12d, Brooklyn, NY 11201, USA;40.7032891;-73.9891782
Brokered by REALHome Services & Solutions;Condo for sale;1086300;2;1.0;780.0;203 W 81st St Apt 4E;New York, NY 10024;203 W 81st St Apt 4ENew York, NY 10024;New York;New York County;New York;Manhattan;203;203 W 81st St #4e, New York, NY 10024, USA;40.7847793;-73.9778528
Brokered by Lakeshore Realty International;Multi-family home for sale;859000;6;4.0;2820.0;729 E 182nd St;Bronx, NY 10457;729 E 182nd StBronx, NY 10457;United States;New York;Bronx County;The Bronx;East 182nd Street;729 E 182nd St, Bronx, NY 10457, USA;40.8500672;-73.885658
Brokered by KELLER WILLIAMS REALTY LANDMARK II;House for sale;945000;2;2.0;2184.207862;69-05 65th Dr;Middle Village, NY 11379;69-05 65th DrMiddle Village, NY 11379;United States;New York;Queens County;Queens;65th Drive;69-05 65th Dr, Flushing, NY 11379, USA;40.7154822;-73.8862242
Brokered by Corcoran Chelsea/Flatiron;Condo for sale;549000;2;2.0;2184.207862;247 MT Hope Pl Apt 1;Bronx, NY 10457;247 MT Hope Pl Apt 1Bronx, NY 10457;New York;Bronx County;The Bronx;West Bronx;247;247 Mt Hope Pl #1, Bronx, NY 10457, USA;40.848222;-73.9043179
Brokered by Empire Home Sales Inc;Multi-family home for sale;969999;6;4.0;2184.207862;3710 Secor Ave;Bronx, NY 10466;3710 Secor AveBronx, NY 10466;United States;New York;Bronx County;The Bronx;Secor Avenue;3710 Secor Ave, Bronx, NY 10466, USA;40.887362;-73.8321425
