title,brand,description,stars,reviewsCount,price/currency,price/value,breadCrumbs,asin,url
I Paused My Game to Be Here | Funny Video Gamer Humor Joke for Men Women T-Shirt,Ann Arbor T-shirt Co.,,4.7,28208.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Shirts › T-Shirts",B07CY7NHY9,https://www.amazon.com/dp/B07CY7NHY9
"Sure, Right After This Raid Funny Gift For Gamers T-Shirt",Awesome Gaming,,4.8,572.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Shirts › T-Shirts",B077QVY3K5,https://www.amazon.com/dp/B077QVY3K5
"Paladone Super Mario Bros Mushroom Light with Sound, Nintendo Collectible Figure Lamp Gift for Fans, Themed Decor for Bedrooms or Gaming Rooms",Paladone,,4.6,3854.0,$,29.99,Home & Kitchen › Home Décor Products › Kids' Room Décor,B0793M7HRK,https://www.amazon.com/dp/B0793M7HRK
"Exquisite Gaming: Fallout 76: Variant Vault Boy - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Licensed Figure",Exquisite Gaming,"FALLOUT 76 VARIANT VAULT BOY - Cable Guys Phone Stand & Controller Holder - Cable Guy 100% official licensed Collectable Classic Fallout 76 Variant functional figure standing 8 inches tall and coming with a 2m cable for charging your device. Approx 8"" tall remote control and gaming controller stand / holder. Compatible with most types of smartphones and console controllers, including the next-gen PlayStation 5 DualSense, Xbox Series S/X and all iPhones. It's the perfect squad mate for any bedroom, office, or lounge. Looking great on its own or when holding your controller or mobile. Cableguys offer a collectible assortment of your favorite characters that have so many uses as gaming table accessories, you'll wonder what you did without them!",4.8,1062.0,$,24.99,Video Games › Legacy Systems › PlayStation Systems › PlayStation 3 › Accessories › Controllers › Gamepads & Standard Controllers,B07H19C13B,https://www.amazon.com/dp/B07H19C13B
Gaming Apparel - Gamer Gifts for Teen Boys & Men Short Sleeve T-Shirt,Gaming Gifts Video Gamer Apparel by RobustCreative,"Gamer boy or teenager you love will wear this graphic with pride as they join their friends online for gaming session on console or PC. This tee is ideal choice for boys and girls who are avid players of video games & e-sports. Gift ideas for son, daughter.Typical merch birthday persent for teenage video game lovers, gamers, geeks, computer nerds who enjoy playing even with lag. Teens often say I paused my game to be here mom/dad when they put the controller down. Cool merchandise Christmas clothes for youth",4.7,881.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Shirts › T-Shirts",B08P9Q29VR,https://www.amazon.com/dp/B08P9Q29VR
Paladone Playstation Controller Digital Alarm Clock - Officially Licensed Playstation Gamer Gifts and Room Decor,Paladone,"The first gaming console to ever ship 100 million units, the original PlayStation was launched by Japan-based electronics company Sony in 1994, rapidly becoming one of the best-known gaming brands in the world. With successive consoles building on that original unprecedented success (including the best-selling console of all time, the PlayStation 2), the iconic image, name, and logos of the Sony brand are instantly recognizable with gamers of all ages. The PlayStation controller, with its distinctive shape and iconic button symbols of a green triangle, blue x, red circle, and pink square, are now virtually synonymous with console gaming in general.",4.5,4157.0,$,30.99,Home & Kitchen › Home Décor Products › Clocks › Alarm Clocks,B07MJHVZDQ,https://www.amazon.com/dp/B07MJHVZDQ
"Hasbro Gaming Monopoly: Disney Star Wars Dark Side Edition Board Game for Families and Kids Ages 8+, Gift, Family Game Night",Hasbro Gaming,"Classic Monopoly gameplay gets a Star Wars twist inspired by the power of the dark side across Star Wars films. In this Monopoly: Disney Star Wars Edition board game for families and kids, players recruit as many infamous villains as they can. The more contracts they have, the more Imperial Credits they can collect. Activate a character's special ability by acquiring the Force Lightning ring, plot against opponents with Dark Side cards, and jump to hyperspace on the board by landing on a Ship space. The last player with Imperial Credits when all other players are bankrupt wins. The game includes 6 zinc Monopoly tokens depicting infamous Star Wars characters: Darth Vader, Kylo Ren, Asaj Ventress, The Emperor, Darth Maul, or the Grand Inquisitor. Looking for board games for kids and families? This Star Wars edition of the Monopoly game is a great choice for family game night. Looking for Star Wars gifts? It's a great kids gift for ages 8 and up. Star Wars products are produced by Hasbro under license from Lucasfilm Ltd. The Hasbro, Hasbro Gaming, Parker Brothers, and Monopoly names and logos, the distinctive design of the gameboard, the four corner squares, the Mr. Monopoly name and character, as well as each of the distinctive elements of the board and playing pieces are trademarks of Hasbro for its property trading game and game equipment.",4.7,374.0,$,21.04,Toys & Games › Games & Accessories › Board Games,B09RSC1CVZ,https://www.amazon.com/dp/B09RSC1CVZ
Majora's Mask LED Sign LoZ Neon Sign for Room Wall Decor Gamer Gifts Zelda Mask Game Room Decor LED Neon Light for Zelda Fans (Majoras Mask),GGK,"GGK Majora's Mask LED Sign LoZ Neon Sign for Room Wall Decor Gamer Gifts Zelda Mask Game Room Decor LED Neon Light for Zelda Fans Zelda Lamps Neon LightsSize of this zelda neon sign: 14.1*12.2 inchesColor: colorfulMaterial: acrylic, silicone",4.7,178.0,$,39.99,Tools & Home Improvement › Lighting & Ceiling Fans › Novelty Lighting › Neon Signs,B0BF9FLCX7,https://www.amazon.com/dp/B0BF9FLCX7
"Kirby Poster Wall Art,Watercolor Kirby Decor Wall Art,Super Smash Bros Kirbys Dreamland Poster,Kirby Merchandise For Walls Or Bedroom,Pink Kirbys Dream Land Gamer Poster For Game Room- 11x14 Unframed",Outerprint,"Give that Kerby fan in your life the perfect gift.This colorful pink Kirby wall art poster print features a 11x14 art photo print that any Kirby fan will enjoy - making a fantastic addition as Kirby wall decor for bedroom, Kirby wall decor, &game room decor. It's modern and one-of-a-kind pink art look is printed on premium lustre matte photo paper only used by professional printers, plus the colorful paper background creates a clean modern look to match any gamer girls bedroom decor or game room decor. These fade-resistant inks will stay vivid and look new forever, even in that sunny corner of a boys bedroom or kids room.This one-of-a-kind kirby poster print is sure to turn heads and inspire compliments no matter where it hangs. Perfect for gamers, boys, girls, smash bros decor or as kirby gifts.Make it yours: Balance out this print's look with a nice modern frame, or hang it up with some picture clips for a fresh take. Creating stunning kirby merch wall art for boy room decor, posters for boys room, or kids room decor for boys.FeaturesReady to frame right out of the package. Use any 11 x 14 frame of your choice to create a stunning kirby decor wall art display or nintendo poster.Ready to frame right out of the package. Use any 11 x 14 frame of your choice to create a stunning kirby decor wall art display or nintendo poster.Specialized lustre photo print: Digital fine art printing is produced using anti-fade inks on professional-grade art printersSpecialized lustre photo print: Digital fine art printing is produced using anti-fade inks on professional-grade art printers100% handcrafted and inspected with best-in-class professional printing that guarantees these will look great forever.100% handcrafted and inspected with best-in-class professional printing that guarantees these will look great forever.Specifications● Includes a professionally printed art photo with high-end premium matte lustre finish● Size: 11' x 14"" each● Clear print details and vivid colors that will wow your guest● Packaged in a strong protected sleeve● Easy to frame - Frames not included",4.7,45.0,$,14.99,Home & Kitchen › Wall Art › Posters & Prints,B09YZ1PB2B,https://www.amazon.com/dp/B09YZ1PB2B
I Love My Mom Shirt - Gamer Gifts for Teen Boys Video Games T-Shirt,Gaming Gifts for Video Gamer by RobustCreative,"Gamer boy or teenager you love will wear this graphic with pride as they join their friends online for gaming session on console or PC. This tee is ideal choice for boys and girls who are avid players of video games & e-sports. Gift ideas for son, daughter",4.6,336.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Girls › Tops & Tees › T-Shirts",B08P9PZR6G,https://www.amazon.com/dp/B08P9PZR6G
"Gamer Gifts for Teenage Boys, Gaming Headphone Stand for Men, Gaming Room Desk Decor Wooden Headset Holder, Son Boyfriend Husband Game Lover Gifts -Choose Your Weapon",CryCarrot,,4.3,59.0,$,21.99,"Electronics › Headphones, Earbuds & Accessories",B0B1DR1GM7,https://www.amazon.com/dp/B0B1DR1GM7
Anatomy Of A Gamer Skeleton Hand Funny Men Boys Kids Teens T-Shirt,Gamer Shirts Video Gaming Boys Men Girl Kids Gift,"Grab this funny Anatomy Of Gamer Skeleton Hand T-Shirt for your gamer It's a perfect gaming gift idea & present for Birthday, Father's Day, Mother's Day or Christmas",4.8,23.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Women › Tops & Tees › T-Shirts",B0CCP3XDD4,https://www.amazon.com/dp/B0CCP3XDD4
BIOWORLD Zelda Gaming Collectible 3 Piece Tin Box Gift Set - Shield and Heart Container Lapel Pin and Hyrule Crest Lanyard,Bioworld,"The ultimate collector’s bundle for any Zelda fan! Whether you love the classics or play the new NES releases, this Zelda collector’s bundle is an awesome way to show off your favorite video game. Featuring a collectible tin case with Zelda Hylian Shield design, Life Heart Container and Hylian Shield pins, and gold Hylian Crest pattern print lanyard all in one kit. The perfect gift for the gamer friend, family, or even yourself!",4.8,25.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Accessories › Buttons & Pins",B0BM4Z2JTR,https://www.amazon.com/dp/B0BM4Z2JTR
"Cable Guys - Call of Duty Monkey Bomb Gaming Accessories & Phone Holder for Most Controller (Xbox, Play Station, Nintendo Switch)",Exquisite Gaming,"Product DescriptionWe are Exquisite Gaming limited and we believe in creating Collectable Products with a Purpose. Based in London UK, we are passionate Gaming and Entertainment Specialists, enthusiastically committed to delivering Unique, Authentic and Collectable Products, intended to surprise and delight fans all over the world. Founded in 2017, we set out to create new consumer product solutions and open up new incremental retail categories. We develop our own trademarked IP Brand platforms and then work with the leading global Entertainment and Gaming brands to secure licenses that fit our product platformsSet Contains:1 x Monkey Bomb Cable Guys, 1 x 2m(6FT) Micro USB cable",4.8,793.0,$,55.9,,B08751LKZT,https://www.amazon.com/dp/B08751LKZT
"Fallout Shelter Vintage Look Reproduction Metal Tin Sign, Garage Decor Man Cave Sign 8x12 Inches",TOPYUN,,4.8,94.0,$,11.99,Home & Kitchen › Home Décor Products › Home Décor Accents › Decorative Accessories › Decorative Signs & Plaques,B0998J9CB2,https://www.amazon.com/dp/B0998J9CB2
"Havit RGB Headphones Stand with 3.5mm AUX and 2 USB Ports, Headphone Holder for Gamers Gaming PC Accessories",havit,,4.5,12807.0,,,Video Games › PC › Accessories › Headsets,B07TGTP1KJ,https://www.amazon.com/dp/B07TGTP1KJ
ABXY Silicone Gaming Coasters - Set of Four - Game Room Décor,ASOHEK,,4.7,19.0,$,7.99,Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Bar Tools & Drinkware › Bar Tools › Coasters,B0C8RNKK6S,https://www.amazon.com/dp/B0C8RNKK6S
"Exquisite Gaming: Borderlands 3: Claptrap - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Gearbox Licensed Figure",Exquisite Gaming,"BORDERLANDS 3: CLAPTRAP - Cable Guys Phone Stand & Controller Holder - Get outta the way, your general-purpose robot and mascot from 2864 AD is here joining our ever-popular Cable Guys range, as seen in the action-packed Borderlands. Filled with emotion and exuberance, your little buddy’s arms are splayed and stationed by his tire to hold most types of gaming controller and smart phone device. There is no stopping you together now, minion! Approx 8.5"" tall remote control and gaming controller stand / holder. Compatible with most types of smartphones and console controllers, including the next-gen PlayStation 5 DualSense, Xbox Series S/X and all iPhones. It's the perfect squad mate for any bedroom, office, or lounge. Looking great on its own or when holding your controller or mobile. Cableguys offer a collectible assortment of your favorite characters that have so many uses as gaming table accessories, you'll wonder what you did without them!",4.5,637.0,$,24.99,Video Games › Legacy Systems › Nintendo Systems › Wii › Accessories › Controllers › Gamepads & Standard Controllers,B07WZTJGCR,https://www.amazon.com/dp/B07WZTJGCR
"Exquisite Gaming: Sonic - Mobile Phone & Gaming Controller Holder, Sonic The Hedgehog Device Stand, Cable Guys, Sony Licensed Figure",Exquisite Gaming,"SONIC - Cable Guys Phone Stand & Controller Holder - From the world of gaming and entertainment as one of the world’s favorite video game characters, it’s the supersonic hedgehog Sonic, running in at super speed. Sonic is part of our hugely popular Cable Guys range. Practicing his lightening-fast reflexes, the Sonic Cable Guy will hold most types of gaming controller, mobile phone device, or anything else you can fit onto his hands. Be sure to keep this little guy far away from Dr Eggman. Approx 8"" tall remote control and gaming controller stand / holder. Compatible with most types of smartphones and console controllers, including the next-gen PlayStation 5 DualSense, Xbox Series S/X and all iPhones. It's the perfect squad mate for any bedroom, office, or lounge. Looking great on its own or when holding your controller or mobile. Cableguys offer a collectible assortment of your favorite characters that have so many uses as gaming table accessories, you'll wonder what you did without them!",4.8,2349.0,$,22.99,Video Games › Legacy Systems › Xbox Systems › Xbox › Accessories,B075RN1Y66,https://www.amazon.com/dp/B075RN1Y66
"Friends Merchandise Mouse Pad for Desk, Computer or Gaming Mousepad, Friends Merch Mouse Mat, Funny Friends Gifts for Coworkers, Friends, Families or Friends TV Show Fans",NAKIMO,"Friends Merchandise Mouse Pad for Desk, Computer or Gaming Mousepad, Friends Merch Mouse Mat, Funny Friends Gifts for Coworkers, Friends, Families or Friends TV Show Fans",4.9,29.0,$,8.95,Office Products › Office & School Supplies › Desk Accessories & Workspace Organizers › Mouse Pads & Wrist Rests › Mouse Pads,B0CKTD7Z3D,https://www.amazon.com/dp/B0CKTD7Z3D
"HAUS AND HUES Retro Video Game Posters for Walls Gaming Room Decor, Video Game Room Decor for Boys, Gaming Posters for Gamer Room Decor, Video Game Controller Poster, UNFRAMED (Controller, 12x16)",HAUS AND HUES,,4.6,2474.0,$,13.99,Home & Kitchen › Wall Art › Posters & Prints,B08DYF83PW,https://www.amazon.com/dp/B08DYF83PW
"Medieval GOT Dragon D&D Game Mug of Thrones Merchandise Beer Steins Viking Tankard Mug Stainless Coffee Cup Gift Mug for Dragon Collector, Themed Party Decoration",LitLife,"★ An ideal gift set:One handmade dragon mug + One key-shaped bottle opener★ This medieval-inspired key-shaped bottle opener with a paper card that a name can be signed.★ This handmade dragon mug will exceed your expectations! It's truly an awesome and well-detailed mug that you can give as a gift. It's hand painted which gives it a unique look that doesn't look cheap like a lot of factory made items. ★ Great gift for all dragon lovers including Goths, Warlocks and Witches, Vikings, Pagans, Cosplay, Sci-fantasy lovers, D&D members, GOT fans, etc. ★ Add this gorgeous mug to your dragon collection! Beautiful craftsmanship! So, you can do this, at least once!NOTES: This Item Provided by Litlife, Lifetime Warranty. If Any Problems Once Reach You, Feel Free to Contact Us or Return The Item In Original Packaging for A Full Refund.",4.5,729.0,$,20.88,Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Glassware & Drinkware › Beer Mugs & Steins,B07RR2KBQJ,https://www.amazon.com/dp/B07RR2KBQJ
"Paladone Minecraft Water Bottle with Bonus Decals, 21 fl oz, Officially Licensed Merchandise",Paladone,,4.4,440.0,$,14.99,Sports & Outdoors › Sports & Outdoor Recreation Accessories › Sports Water Bottles,B09447CJRY,https://www.amazon.com/dp/B09447CJRY
"Minecraft Cute Fox Night Light, Soft Orange Glow, Officially Licensed Minecraft Decor and Desk Lamp for Gaming Room or Kids Bedroom",Paladone,,4.6,741.0,$,39.99,Home & Kitchen › Home Décor Products › Kids' Room Décor › Lamps & Lighting,B09XN77DVV,https://www.amazon.com/dp/B09XN77DVV
Bandai Deluxe Edition Action Figure | 16.5cm Toy with 16 Points of Articulation and Accessories | Collectable Figures for A Merchandise Collection,Crash Bandicoot,"The Crash Bandicoot games are all about the titular bandicoot who was used as an experimental subject by the evil Dr. Neo Cortex, before escaping and coming back to foil his schemes. Crash goes on many adventures throughout the games with the help of Aku Aku and his sister Coco, to protect his friends, family, and the other denizens of the Wumpa Islands. This Deluxe Edition Crash Bandicoot toy is a high quality depiction of the titular hero and an excellent Crash Bandicoot gift for collectors and fans. Each of these Crash Bandicoot figures are 16.5cm tall and have 16 points of articulation allowing you to fully pose Crash to relive your favourite adventures from the games. Along with the action figure, each box contains two accessories to personalise your Crash Bandicoot model, an additional mouth with a different expression and an alternate pair of hands. Like all the best collectable toys, this figurine comes in themed Crash Bandicoot packaging with a clear front window for easy display. The Deluxe Edition Crash Bandicoot model figures make excellent girls and boys action figures and Bandai also sells 11cm figures and adorable plush toys to fill out your Crash Bandicoot collection.",4.6,21.0,$,34.85,Video Games › Legacy Systems › Nintendo Systems,B0BNW5F9LQ,https://www.amazon.com/dp/B0BNW5F9LQ
Neon Sign Sword & Shield Master Cool Game Room Decor Gaming Light Sword LED Signs Gamer Gifts for Teen Boys (1. Sword Shield),Heliwey,,4.7,200.0,$,59.99,Tools & Home Improvement › Lighting & Ceiling Fans › Novelty Lighting › Neon Signs,B09FPQY28M,https://www.amazon.com/dp/B09FPQY28M
"Paladone Playstation Heritage Icons Light, Desktop Game Room Lighting Accessories, 3 Dynamic Light Modes, Powered by USB or Batteries",Paladone,"The first gaming console to ever ship 100 million units, the original PlayStation was launched by Japan-based electronics company Sony in 1994, rapidly becoming one of the best-known gaming brands in the world. With successive consoles building on that original unprecedented success, the iconic image, name, and logos of the Sony brand are instantly recognizable with gamers of all ages. The PlayStation controller, with its distinctive shape and iconic button symbols of a green triangle, blue x, red circle, and pink square, are now virtually synonymous with console gaming in general.",4.7,2068.0,$,29.99,Tools & Home Improvement › Lighting & Ceiling Fans › Novelty Lighting › Neon Signs,B09RKTSG7Y,https://www.amazon.com/dp/B09RKTSG7Y
"Numskull Teenage Mutant Ninja Turtles Gaming Locker, Controller Holder, Headset Stand for PS5, Xbox Series X S, Nintendo Switch - Official Merchandise",Numskull,,4.4,45.0,$,44.99,Video Games › PlayStation 5 › Accessories › Accessory Kits,B0BSV67WVF,https://www.amazon.com/dp/B0BSV67WVF
PlayStation Controller Mug - Coffee Mug 10oz - Officially Licensed Merchandise,Paladone,,4.4,2325.0,$,19.98,Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Novelty › Drinkware › Coffee Mugs,B07BBYTPJC,https://www.amazon.com/dp/B07BBYTPJC
"Pac Man and Ghosts Light, Pac Man Collectable Figure Lamp",Paladone,Love to play PAC-MAN? Well the PAC-MAN game remains one of the highest-grossing video games of all time and our range continues to be one of our most popular. The PAC-MAN man has iconic status and retro appeal with an instantly recognizable shape that lends itself to a whole host of fun and unusual gifts. And what about those ghosts…,4.6,2239.0,$,35.0,Tools & Home Improvement › Lighting & Ceiling Fans › Wall Lights › Night Lights,B0851Y4314,https://www.amazon.com/dp/B0851Y4314
Quarter Arcades Official Bubble Bobble 1/4 Sized Mini Arcade Cabinet by Numskull – Playable Replica Retro Arcade Game Machine – Micro Retro Console,quarter arcades,,4.1,85.0,,,Toys & Games › Kids' Electronics › Plug & Play Video Games,B08X943CYT,https://www.amazon.com/dp/B08X943CYT
"PDP Gaming Legends of Zelda Slim Travel Case For Console, Up To 6 Games: Retro Zelda - Nintendo Switch",PDP,,4.3,166.0,,,,B07H18PZRK,https://www.amazon.com/dp/B07H18PZRK
SteelSeries World of Warcraft Legendary MMO Gaming Mouse,SteelSeries,"Product DescriptionThe SteelSeries World of Warcraft® MMO Gaming: Legendary Edition brings both Mac® and PC players a comfortablyshaped and easy to configure mouse that can enhance their gameplay. The mouse features 11 programmable buttons, drag-and-drop macro creation, 16.8 million color illuminations and can be configured directly from within the game.From the ManufacturerDo You Have What It Takes To Be Legendary?SteelSeries brings World of Warcraft players a finely crafted weapon of precision with the SteelSeries World of Warcraft MMO Gaming Mouse: Legendary Edition. Arm yourself with a versatile tool on your journey through Azeroth battling old foes and discovering new adventures. Be bold. Be Legendary. Perfectly sized for comfort--especially for long sessions of dungeon crawling or raiding Featuring an impressive lightning bolt design inspired by the legendary sword of Thunderfury The Legendary Edition has 11 programmable buttons, ergonomically positioned for comfort. View larger Intuitive drag-and-drop interface of the SteelSeries software Welcome AdventurersBuilt for players of all types--be they casual fan or dedicated raider, rookie or guild leader--the Legendary Edition mouse is designed to enhance your game play. Sophisticated software functionality lets you easily customize the mouse to suit your individual play style.Lucky Number 11Sleeker in size but just as powerful, the Legendary Edition is the little brother to its predecessor the World of Warcraft: Cataclysm MMO Gaming Mouse. Tested by World of Warcraft gamers and co-designed with Blizzard Entertainment, the new Legendary Edition has 11 programmable buttons, ergonomically positioned for comfortable gameplay.Illumination and PulseFor a game that's filled with choices and personalization, it's obvious that the same should be true with how your tools play, look and feel. The World of Warcraft MMO Gaming Mouse: Legendary Edition offers more than 16.8 million color options and 4 levels of pulsation including Low, Medium, High and Off. So there's sure to be a combination to suit every mood and occasion.Configure Your Settings In The GamePlug in your mouse. Start your game. Configure all of your mouse settings from illumination to macros to button assignments directly from the World of Warcraft interface.Drag-and-Drop PowerThe intuitive drag-and-drop interface of the SteelSeries software empowers users to program all 11 buttons with more than 130 preset game commands, or create custom macros and/or use the in-game macro scripting language.The FitFor a game that has become a lifestyle for many, the tools that are used to explore and dominate must be perfectly sized for comfort--especially for long sessions of dungeon crawling or raiding. The World of Warcraft MMO Gaming Mouse: Legendary Edition measures 40mm x 81mm x 115mm and weighs only 115 grams, so it's comfortable to wield during long play sessions.Behind The DesignInspired by the legendary sword Thunderfury, the mouse features an impressive lightning bolt design evoking the power of the Blessed Blade of the Windseeker. The sword is the final reward at the end of a long and difficult journey--and an incredible boon for the dedicated souls who dare to take on the challenge.Optical SensorFrames per Second: 3600Frames per Second: 3600Inches per Second: 130Inches per Second: 130Counts per Inch: 3200Counts per Inch: 3200Acceleration: 30 GAcceleration: 30 GLift Distance: 2mmLift Distance: 2mmCompatibilityWindows 2000Windows 2000Windows XPWindows XPWindows VistaWindows VistaWindows 7Windows 7Mac OSXMac OSXWhat's in the BoxSteelSeries World of Warcraft MMO Gaming Mouse: Legendary Edition and SteelSeries Engine software.What Critics Are Saying About World of Warcraft MMO Gaming Mouse: Legendary Edition""Consider eleven programmable buttons (including a customizable left- and right-click), software that integrates with your personal characters and is packed with in-game actions, and a design that's attractive enough to gain the same bragging rights the actual Thunderfury brings. ...Regardless of what class you may be, this is not an item to pass on."" Score: 9/10--Lanoc.org""This edition of the mouse also feels solid and well built which is an added bonus on top of the high quality styling."" Score: 9/10--HardwareHeaven""The mouse is built well, moves smoothly, feels great (no jagged edges!), and--at least in the case of World of Warcraft--is a game changer."" Score: 9/10--Gamingogre",4.2,599.0,,,Video Games › PC › Accessories › Gaming Mice,B005L38QHA,https://www.amazon.com/dp/B005L38QHA
"Nintendo Metroid Notebook in Presentation Gift Box, A5 240 Lined Pages - Official Merchandise",Pyramid International,"Nintendo Metroid Notebook in Presentation Gift Box, A5 240 Lined Pages - Official Merchandise",4.8,9.0,$,21.6,Video Games › Legacy Systems › Nintendo Systems › Nintendo NES › Games,B09NDN2VZ6,https://www.amazon.com/dp/B09NDN2VZ6
