BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by The Agency;Condo for sale;27750000;7;8.0;8139.0;551 W 21st St Unit 15AB;New York, NY 10011;551 W 21st St Unit 15ABNew York, NY 10011;New York;New York County;New York;Manhattan;551;551 W 21st St #15a, New York, NY 10011, USA;40.7474926;-74.0072666
Brokered by Keller Williams Realty Elite;House for sale;739000;3;1.0;1148.0;248-08 82nd Ave;Bellerose, NY 11426;248-08 82nd AveBellerose, NY 11426;United States;New York;Queens County;Queens;82nd Avenue;248-08 82nd Ave, Jamaica, NY 11426, USA;40.7386816;-73.7202723
Brokered by Keller Williams Realty Group;Multi-family home for sale;425000;3;2.0;1700.0;747 E 217th St;Bronx, NY 10467;747 E 217th StBronx, NY 10467;United States;New York;Bronx County;The Bronx;East 217th Street;747 E 217th St, Bronx, NY 10467, USA;40.8817944;-73.8617772
Brokered by RE MAX Real Estate Professionals;Co-op for sale;300000;2;1.0;900.0;350 Richmond Ter Apt 3C;Staten Island, NY 10301;350 Richmond Ter Apt 3CStaten Island, NY 10301;New York;Richmond County;Staten Island;Mid Island;350;350 Richmond Terrace #3c, Staten Island, NY 10301, USA;40.6479387;-74.0852701
Brokered by Re/Max Elite;House for sale;569000;3;3.0;1780.0;267 Robinson Ave;Bronx, NY 10465;267 Robinson AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Robinson Avenue;267 Robinson Ave, Bronx, NY 10465, USA;40.8147819;-73.8265252
Brokered by Baring Homes Corp;House for sale;789000;5;3.0;1273.0;223-30 107th Ave;Queens Village, NY 11429;223-30 107th AveQueens Village, NY 11429;United States;New York;Queens County;Queens;107th Avenue;223-30 107th Ave, Jamaica, NY 11429, USA;40.7084501;-73.7316272
Brokered by COMPASS;Condo for sale;10500000;3;3.0;2753.0;1 Wall St Apt 4101;Manhattan, NY 10005;1 Wall St Apt 4101Manhattan, NY 10005;New York;New York County;New York;Manhattan;1;1 Wall St #4101, New York, NY 10005, USA;40.7075029;-74.011653
Brokered by Corcoran Long Island City;Co-op for sale;350000;2;1.0;825.0;274 S 2nd St Apt 30;Brooklyn, NY 11211;274 S 2nd St Apt 30Brooklyn, NY 11211;New York;Kings County;Brooklyn;Williamsburg;274;274 S 2nd St Apartment 30, Brooklyn, NY 11211, USA;40.711175;-73.957086
Brokered by Corcoran Brooklyn Heights;Pending;5895000;8;5.0;6312.0;219 Frost St;Brooklyn, NY 11211;219 Frost StBrooklyn, NY 11211;United States;New York;Kings County;Brooklyn;Frost Street;219 Frost St, Brooklyn, NY 11211, USA;40.7185648;-73.9422548
Brokered by Coldwell Banker Reliable Real Estate;Multi-family home for sale;1250000;7;4.0;2184.207862;346 50th St;Brooklyn, NY 11220;346 50th StBrooklyn, NY 11220;United States;New York;Kings County;Brooklyn;50th Street;346 50th St, Brooklyn, NY 11220, USA;40.6468782;-74.0136737
Brokered by Douglas Elliman - 156 Montague;Townhouse for sale;1499999;4;2.0;2264.0;3623 Avenue T;Brooklyn, NY 11234;3623 Avenue TBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Avenue T;3623 Avenue T, Brooklyn, NY 11234, USA;40.6087059;-73.9290715
Brokered by Brownstone Real Estate LLC - Carroll Gardens;Multi-family home for sale;1488000;6;2.0;2184.207862;7302 11th Ave;Brooklyn, NY 11228;7302 11th AveBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;11th Avenue;7302 11th Ave, Brooklyn, NY 11228, USA;40.624169;-74.010925
Brokered by Douglas Elliman - East Setauket;Land for sale;285000;3;2.3738608579684373;2184.207862;12 Point Breeze Ave;Far Rockaway, NY 11697;12 Point Breeze AveFar Rockaway, NY 11697;United States;New York;Queens County;Queens;Point Breeze Avenue;12 Point Breeze Ave, Breezy Point, NY 11697, USA;40.5607533;-73.9207539
Brokered by Sell Your Home NY Inc;Multi-family home for sale;699000;3;3.0;2184.207862;114-48 127th St;South Ozone Park, NY 11420;114-48 127th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;127th Street;11448 127th St, Jamaica, NY 11420, USA;40.6793322;-73.8130504
Brokered by Liberty Chateau Realty Inc;House for sale;924900;3;2.0;1404.0;1559 W 4th St;Brooklyn, NY 11204;1559 W 4th StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;West 4th Street;1559 W 4th St, Brooklyn, NY 11204, USA;40.6094348;-73.9777343
Brokered by Mach Realty Llc;Foreclosure;560000;4;2.0;2318.0;456 E 134th St;Bronx, NY 10454;456 E 134th StBronx, NY 10454;United States;New York;Bronx County;The Bronx;East 134th Street;456 E 134th St, Bronx, NY 10454, USA;40.8056419;-73.9229736
Brokered by Century 21 Realty First;Multi-family home for sale;1998000;12;8.0;5100.0;4015 Atlantic Ave;Brooklyn, NY 11224;4015 Atlantic AveBrooklyn, NY 11224;United States;New York;Kings County;Brooklyn;Atlantic Avenue;4015 Atlantic Ave, Brooklyn, NY 11224, USA;40.5745179;-74.0068304
Brokered by KELLER WILLIAMS REALTY LANDMARK II;Pending;309000;3;2.0;2184.207862;151-40 88 St Unit 5J;Howard Beach, NY 11414;151-40 88 St Unit 5JHoward Beach, NY 11414;New York;Queens County;Queens;Howard Beach;151-40;151-40 88th St #5j, Howard Beach, NY 11414, USA;40.6674344;-73.8479327
Brokered by Nest Seekers Westchester Llc;Multi-family home for sale;925000;4;2.3738608579684373;2160.0;2423 Woodhull Ave;Bronx, NY 10469;2423 Woodhull AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Woodhull Avenue;2423 Woodhull Ave, Bronx, NY 10469, USA;40.8616602;-73.8421016
Brokered by Landmark International R E Llc;House for sale;999000;4;2.0;2184.207862;65-07 181st St;Fresh Meadows, NY 11365;65-07 181st StFresh Meadows, NY 11365;United States;New York;Queens County;Queens;181st Street;65-07 181st St, Flushing, NY 11365, USA;40.7365353;-73.7913358
Brokered by B Square Realty;Condo for sale;699000;2;2.0;833.0;214-10 15 Ave Unit 4B;Bayside, NY 11360;214-10 15 Ave Unit 4BBayside, NY 11360;New York;Queens County;Queens;Bayside;214- 10;214- 10 15th Ave #4b, Bayside, NY 11360, USA;40.7873388;-73.7794685
Brokered by Apple Realty Group Corp;Co-op for sale;278500;2;1.0;2184.207862;65-38 Booth St Unit 6E;Rego Park, NY 11374;65-38 Booth St Unit 6ERego Park, NY 11374;New York;Queens County;Queens;Rego Park;65-38;65-38 Booth St #6e, Rego Park, NY 11374, USA;40.7267837;-73.8587799
Brokered by COMPASS;Co-op for sale;738000;3;2.0;2184.207862;303 E 57th St Apt 39A;Manhattan, NY 10022;303 E 57th St Apt 39AManhattan, NY 10022;New York;New York County;New York;Manhattan;303;303 E 57th St #39a, New York, NY 10022, USA;40.7595774;-73.964779
Brokered by COMPASS;House for sale;900000;4;4.0;2700.0;12-14 W 5th Rd;Queens, NY 11693;12-14 W 5th RdQueens, NY 11693;United States;New York;Queens County;Queens;West 5th Road;12 W 5th Rd, Broad Channel, NY 11693, USA;40.6110299;-73.8195062
Brokered by Re/Max Elite;Co-op for sale;369000;1;1.0;1470.0;12310 Ocean Promenade Apt 7H;Rockaway Park, NY 11694;12310 Ocean Promenade Apt 7HRockaway Park, NY 11694;New York;Queens County;Queens;Rockaway Park;123-10;123-10 Ocean Prom #7h, Rockaway Park, NY 11694, USA;40.5756358;-73.8423199
Brokered by Premium Choice Realty Corp;House for sale;609000;3;2.0;1620.0;4384 Locust Point Dr;Bronx, NY 10465;4384 Locust Point DrBronx, NY 10465;United States;New York;Bronx County;The Bronx;Locust Point Drive;4384 Locust Point Dr, Bronx, NY 10465, USA;40.8165837;-73.8006996
Brokered by Keller Williams Rlty Landmark;Condo for sale;758000;3;2.0;1278.0;3-27 Endeavor Pl Unit C;College Point, NY 11356;3-27 Endeavor Pl Unit CCollege Point, NY 11356;United States;New York;Queens County;Queens;Endeavor Place;327 Endeavor Pl, College Point, NY 11356, USA;40.7928823;-73.8449212
Brokered by Gillani Homes Inc.;Condo for sale;728000;3;2.0;1890.0;166 Rolling Hill Grn;Staten Island, NY 10312;166 Rolling Hill GrnStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Rolling Hill Green;166 Rolling Hill Green, Staten Island, NY 10312, USA;40.55065;-74.193355
Brokered by Liberty Chateau Realty Inc;House for sale;314900;3;3.0;1200.0;595 Glenmore Ave;Brooklyn, NY 11207;595 Glenmore AveBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Glenmore Avenue;595 Glenmore Ave, Brooklyn, NY 11207, USA;40.6744942;-73.8883757
Brokered by Julia Shildkret Real Estate;House for sale;2848000;6;2.3738608579684373;4443.0;85-16 Chevy Chase St;Jamaica, NY 11432;85-16 Chevy Chase StJamaica, NY 11432;United States;New York;Queens County;Queens;Chevy Chase Street;85-16 Chevy Chase St, Jamaica, NY 11432, USA;40.7202893;-73.7786927
Brokered by Tscherne Realty Inc;House for sale;1298000;3;2.0;2046.0;62-15 82nd Pl;Middle Village, NY 11379;62-15 82nd PlMiddle Village, NY 11379;United States;New York;Queens County;Queens;82nd Place;62-15 82nd Pl, Flushing, NY 11379, USA;40.7239521;-73.8747783
Brokered by Magic Of Great Neck Realty Inc;Co-op for sale;1095000;4;4.0;2500.0;27110 Grand Central Pkwy Ph F;Floral Park, NY 11005;27110 Grand Central Pkwy Ph FFloral Park, NY 11005;United States;New York;Queens County;Queens;Grand Central Parkway;27110 Grand Central Pkwy, Queens Village, NY 11005, USA;40.7564761;-73.7212008
Brokered by Liberty Chateau Realty Inc;Condo for sale;434900;3;2.0;1286.0;6 Greentree Ln Unit 6;Staten Island, NY 10314;6 Greentree Ln Unit 6Staten Island, NY 10314;New York;Richmond County;Staten Island;Bulls Head;6;6 Greentree Ln #6, Staten Island, NY 10314, USA;40.6085756;-74.1610387
Brokered by Douglas Elliman - 3544 Johnson Ave;Co-op for sale;375000;2;2.0;1350.0;4601 Henry Hudson Pkwy W Apt A8;Bronx, NY 10471;4601 Henry Hudson Pkwy W Apt A8Bronx, NY 10471;New York;Bronx County;The Bronx;Hudson Hill;4601;4601 Henry Hudson Pkwy W a8, Bronx, NY 10471, USA;40.8938465;-73.9091368
Brokered by Link Ny Realty;Multi-family home for sale;1375000;14;8.0;6000.0;1826 Radcliff Ave;Bronx, NY 10462;1826 Radcliff AveBronx, NY 10462;United States;New York;Bronx County;The Bronx;Radcliff Avenue;1826 Radcliff Ave, Bronx, NY 10462, USA;40.8485623;-73.8574586
Brokered by OneKey MLS LLC - Realmart Realty, LLC;Townhouse for sale;4680000;3;4.0;2400.0;128 E 38th St;New York, NY 10016;128 E 38th StNew York, NY 10016;United States;New York;New York County;New York;East 38th Street;128 E 38th St, New York, NY 10016, USA;40.7489947;-73.9783819
Brokered by O Kane Realty;Co-op for sale;549000;2;2.0;1200.0;69-10 108 St Unit 6O;Forest Hills, NY 11375;69-10 108 St Unit 6OForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;69-10;69-10 108th St #6c, Forest Hills, NY 11375, USA;40.724514;-73.8458441
Brokered by Northshore Properties Realty;House for sale;549000;3;1.0;1400.0;225 Bement Ave;Staten Island, NY 10310;225 Bement AveStaten Island, NY 10310;United States;New York;Richmond County;Staten Island;Bement Avenue;225 Bement Ave, Staten Island, NY 10310, USA;40.6368544;-74.1124571
Brokered by Keller Williams Realty Staten Island;House for sale;950000;3;2.0;1520.0;67-44 Kessel St;Queens, NY 11375;67-44 Kessel StQueens, NY 11375;United States;New York;Queens County;Queens;Kessel Street;67-44 Kessel St, Flushing, NY 11375, USA;40.7157274;-73.8563447
Brokered by LoHo Realty Inc;Condo for sale;388000;3;1.0;2184.207862;157 Broome St Apt 3E;New York City, NY 10002;157 Broome St Apt 3ENew York City, NY 10002;New York;New York County;New York;Manhattan;157;157 Broome St #3e, New York, NY 10002, USA;40.7162732;-73.9849864
Brokered by Sotheby's International Realty, Inc.;Townhouse for sale;5600000;6;6.0;4917.0;111 E 19th St;New York, NY 10003;111 E 19th StNew York, NY 10003;United States;New York;New York County;New York;East 19th Street;111 E 19th St, New York, NY 10003, USA;40.7375348;-73.9872447
Brokered by Strictly Realty;Multi-family home for sale;1600000;8;6.0;3472.0;85-29 66th Ave;Rego Park, NY 11374;85-29 66th AveRego Park, NY 11374;United States;New York;Queens County;Queens;66th Avenue;85-29 66th Ave, Flushing, NY 11374, USA;40.7189686;-73.8626041
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Townhouse for sale;6995000;5;2.3738608579684373;3912.0;239 E 78th St;New York, NY 10075;239 E 78th StNew York, NY 10075;United States;New York;New York County;New York;East 78th Street;239 E 78th St, New York, NY 10075, USA;40.7732125;-73.9564279
Brokered by Douglas Elliman - Franklin Square;Multi-family home for sale;1399000;6;2.0;2184.207862;61-29 75th St;Middle Village, NY 11379;61-29 75th StMiddle Village, NY 11379;United States;New York;Queens County;Queens;75th Street;61-29 75th St, Flushing, NY 11379, USA;40.721725;-73.8839773
Brokered by Sowae Corp;House for sale;399000;3;2.3738608579684373;1350.0;117-02 111th Ave;South Ozone Park, NY 11420;117-02 111th AveSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;111th Avenue;117-02 111th Ave, Jamaica, NY 11420, USA;40.6798316;-73.82277
Brokered by Corcoran Brooklyn Heights;Pending;529900;1;1.0;630.0;175 Adams St Apt 10E;Brooklyn, NY 11201;175 Adams St Apt 10EBrooklyn, NY 11201;New York;Kings County;Brooklyn;Downtown Brooklyn;175;175 Adams St #10e, Brooklyn, NY 11201, USA;40.6985714;-73.9881911
Brokered by Prime Realty;Pending;999000;5;2.0;2184.207862;59-14 69th St;Maspeth, NY 11378;59-14 69th StMaspeth, NY 11378;United States;New York;Queens County;Queens;69th Street;59-14 69th St, Flushing, NY 11378, USA;40.7227469;-73.8941061
Brokered by Winzone Realty Inc;Condo for sale;575000;2;2.0;2184.207862;81-15 Queens Blvd Unit 3C;Elmhurst, NY 11373;81-15 Queens Blvd Unit 3CElmhurst, NY 11373;New York;Queens County;Queens;Elmhurst;81-15;81-15 Queens Blvd #3c, Elmhurst, NY 11373, USA;40.7373082;-73.878333
Brokered by Keller Williams Points North;Pending;659900;3;4.0;2184.207862;216-10 17th Ave Unit TH53;Bayside, NY 11360;216-10 17th Ave Unit TH53Bayside, NY 11360;New York;Queens County;Queens;Bayside;216-10;216-10 17th Ave th53, Bayside, NY 11360, USA;40.7855084;-73.7762312
Brokered by BHHS New York Properties;Townhouse for sale;2200000;6;3.0;2385.0;484 A 7th Ave;Brooklyn, NY 11215;484 A 7th AveBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;7th Avenue;484A 7th Ave, Brooklyn, NY 11215, USA;40.6621056;-73.9857576
Brokered by Project Queens LLC;Multi-family home for sale;898888;5;2.0;1550.0;24907 88th Rd;Bellerose, NY 11426;24907 88th RdBellerose, NY 11426;United States;New York;Queens County;Queens;88th Road;249-07 88th Rd, Jamaica, NY 11426, USA;40.7282381;-73.7158123
Brokered by Nest Seekers International, Midtown;House for sale;1250000;5;4.0;3427.0;148 Claypit Rd;Staten Island, NY 10309;148 Claypit RdStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Clay Pit Road;148 Clay Pit Rd, Staten Island, NY 10309, USA;40.5395581;-74.2229079
Brokered by Compass Greater New York, LLC;Multi-family home for sale;1188000;3;2.0;2240.0;1861 82nd St;Brooklyn, NY 11214;1861 82nd StBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;82nd Street;1861 82nd St, Brooklyn, NY 11214, USA;40.6085532;-73.998257
Brokered by Coldwell Banker Advantage;Multi-family home for sale;869999;5;3.0;2080.0;428 Bradley Ave;Staten Island, NY 10314;428 Bradley AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Bradley Avenue;428 Bradley Ave, Staten Island, NY 10314, USA;40.6005525;-74.1314512
Brokered by Top Nest Inc;Co-op for sale;219000;3;1.0;1050.0;2229 Knapp St Apt 2A;Brooklyn, NY 11229;2229 Knapp St Apt 2ABrooklyn, NY 11229;New York;Kings County;Brooklyn;Gerritsen Beach;2229;2229 Knapp St #2a, Brooklyn, NY 11229, USA;40.5988908;-73.9334675
Brokered by Sowae Corp;House for sale;210000;3;2.3738608579684373;1840.0;653 Jerome St;Brooklyn, NY 11207;653 Jerome StBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Jerome Street;653 Jerome St, Brooklyn, NY 11207, USA;40.664748;-73.884184
Brokered by Cross Country Realty;Multi-family home for sale;799000;6;2.0;2184.207862;737 Pine St;Brooklyn, NY 11208;737 Pine StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Pine Street;737 Pine St, Brooklyn, NY 11208, USA;40.6672674;-73.8686224
Brokered by R Jaundoo Realty Llc;Co-op for sale;298000;3;2.0;1100.0;1425 Thieriot Ave Apt 6L;Bronx, NY 10460;1425 Thieriot Ave Apt 6LBronx, NY 10460;New York;Bronx County;The Bronx;East Bronx;1425;1425 Thieriot Ave #6l, Bronx, NY 10460, USA;40.8363242;-73.8654755
Brokered by Re/Max Edge;House for sale;1248888;4;4.0;3500.0;25 Tarring St;Staten Island, NY 10306;25 Tarring StStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Tarring Street;25 Tarring St, Staten Island, NY 10306, USA;40.5646314;-74.1243252
Brokered by Corcoran East Side;Pending;1075000;2;2.0;955.0;313 W 118th St Apt 3D;New York, NY 10026;313 W 118th St Apt 3DNew York, NY 10026;New York;New York County;New York;Manhattan;313;313 W 118th St #3d, New York, NY 10026, USA;40.8061576;-73.9550949
Brokered by Corcoran Park Slope;Pending;1695000;2;2.0;1572.0;633 Prospect Pl Apt 1;Brooklyn, NY 11216;633 Prospect Pl Apt 1Brooklyn, NY 11216;New York;Kings County;Brooklyn;Crown Heights;633;633 Prospect Pl #1, Brooklyn, NY 11216, USA;40.6750114;-73.9554645
Brokered by Brown Harris Stevens;Condo for sale;3795000;3;2.0;1887.0;30 Main St Ph B;Brooklyn, NY 11201;30 Main St Ph BBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Main Street;30 Main St, Brooklyn, NY 11201, USA;40.702988;-73.9907803
Brokered by Sold By Bart R E Partners Inc;Condo for sale;550000;2;2.0;2184.207862;62-48 Mount Olivet Cres Unit 1B;Middle Village, NY 11379;62-48 Mount Olivet Cres Unit 1BMiddle Village, NY 11379;New York;Queens County;Queens;Flushing;6248;6248 Mt Olivet Crescent APT 1A, Flushing, NY 11379, USA;40.7135475;-73.895855
Brokered by Sotheby's International Realty - Downtown Manhattan;Co-op for sale;775000;3;1.0;2184.207862;46 Commerce St # 5;New York, NY 10014;46 Commerce St # 5New York, NY 10014;New York;New York County;New York;Manhattan;46;46 Commerce St # 5, New York, NY 10014, USA;40.7313539;-74.0050572
Brokered by Wonica REALTORS & Appraisers;Foreclosure;249900;2;2.0;800.0;1100 Clove Rd Unit G0;Staten Island, NY 10301;1100 Clove Rd Unit G0Staten Island, NY 10301;United States;New York;Richmond County;Staten Island;Clove Road;1100 Clove Rd, Staten Island, NY 10301, USA;40.6189484;-74.1071576
Brokered by Keller Williams Realty Empire;House for sale;650000;4;1.0;1152.0;318 Arthur Kill Rd;Staten Island, NY 10308;318 Arthur Kill RdStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Arthur Kill Road;318 Arthur Kill Rd, Staten Island, NY 10308, USA;40.5663057;-74.1529549
Brokered by Corcoran Brooklyn Heights;Co-op for sale;410000;1;1.0;2184.207862;8701 Shore Rd Apt 435;Brooklyn, NY 11209;8701 Shore Rd Apt 435Brooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;8701;8701 Shore Rd Apt 435, Brooklyn, NY 11209, USA;40.6249201;-74.0404698
Brokered by Momentum Real Estate Llc;Multi-family home for sale;1650000;9;5.0;4320.0;2331 W 12th St;Brooklyn, NY 11223;2331 W 12th StBrooklyn, NY 11223;United States;New York;Kings County;Brooklyn;West 12th Street;2331 W 12th St, Brooklyn, NY 11223, USA;40.5906586;-73.9818321
Brokered by Brown Harris Stevens;Pending;1600000;2;2.0;1100.0;159 W 24th St Apt 5B;Manhattan, NY 10011;159 W 24th St Apt 5BManhattan, NY 10011;New York;New York County;New York;Manhattan;159;159 W 24th St #5b, New York, NY 10011, USA;40.7448219;-73.9944632
Brokered by Douglas Elliman - Bayside;Co-op for sale;325000;2;1.0;2184.207862;67-12 Yellowstone Blvd Unit B1;Forest Hills, NY 11375;67-12 Yellowstone Blvd Unit B1Forest Hills, NY 11375;New York;Queens County;Queens;Flushing;67-12;67-12 Yellowstone Blvd #1b, Flushing, NY 11375, USA;40.7280894;-73.8494828
Brokered by Precious Properties Corp.;Contingent;275000;2;1.0;900.0;177 3rd St Unit 1;Staten Island, NY 10306;177 3rd St Unit 1Staten Island, NY 10306;New York;Richmond County;Staten Island;New Dorp;177;177 3rd St #1, Staten Island, NY 10306, USA;40.5735927;-74.1200228
Brokered by Keller Williams Realty NYC Grp;House for sale;700000;3;2.0;1620.0;3610 Corlear Ave;Bronx, NY 10463;3610 Corlear AveBronx, NY 10463;United States;New York;Bronx County;The Bronx;Corlear Avenue;3610 Corlear Ave, Bronx, NY 10463, USA;40.8844018;-73.9028342
Brokered by Chase Global Realty Corp;House for sale;930000;3;2.0;2184.207862;32-16 61st St;Woodside, NY 11377;32-16 61st StWoodside, NY 11377;United States;New York;Queens County;Queens;61st Street;32-16 61st St, Flushing, NY 11377, USA;40.7555333;-73.9016851
Brokered by Today Realty Corp.;Condo for sale;379000;1;2.0;704.0;190 Schofield St Apt 3I;Bronx, NY 10464;190 Schofield St Apt 3IBronx, NY 10464;New York;Bronx County;The Bronx;City Island;190;190 Schofield St #3i, Bronx, NY 10464, USA;40.845063;-73.783581
Brokered by BEN BAY REALTY, CO.;House for sale;1150000;3;2.3738608579684373;1376.0;2234 62nd St;Brooklyn, NY 11204;2234 62nd StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;62nd Street;2234 62nd St, Brooklyn, NY 11204, USA;40.6149237;-73.9789281
Brokered by Mjr Real Estate Llc;Co-op for sale;568888;3;2.0;1100.0;98-05 63 Rd Unit 4E;Rego Park, NY 11374;98-05 63 Rd Unit 4ERego Park, NY 11374;United States;New York;Queens County;Queens;63rd Road;98-05 63rd Rd, Rego Park, NY 11374, USA;40.7322223;-73.8588845
Brokered by Connie Profaci Realty;House for sale;1200000;4;3.0;2052.0;244 Four Corners Rd;Staten Island, NY 10304;244 Four Corners RdStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;4 Corners Road;244 4 Corners Rd, Staten Island, NY 10304, USA;40.59194;-74.1087406
Brokered by Wonica REALTORS & Appraisers;Foreclosure;899900;3;3.0;2550.0;712 Katan Ave;Staten Island, NY 10312;712 Katan AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Katan Avenue;712 Katan Ave, Staten Island, NY 10312, USA;40.5499354;-74.1709931
