# Метеостанция Тобольск, Россия, WMO_ID=28275, выборка с 06.09.2009 по 06.09.2010, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=28275&lang=ru
#
"Местное время в Тобольске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.09.2010 08:00";"13.4";"762.7";"767.0";"";"57";"Ветер, дующий с юго-запада";"3";"";"";"50%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"5.0";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"04.09.2010 05:00";"11.7";"763.7";"768.0";"";"58";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.6";"";"";"";"";"";"";
"04.09.2010 02:00";"12.0";"764.0";"768.2";"";"60";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.5";"";"";"";"";"";"";
"03.09.2010 23:00";"12.8";"765.4";"769.6";"";"62";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"18.0";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"03.09.2010 20:00";"12.5";"766.6";"770.8";"";"60";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"18.0";"";"";"";"";"";"20.0";"5.0";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"03.09.2010 17:00";"17.7";"768.2";"772.4";"";"46";"Ветер, дующий с юго-запада";"5";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.9";"";"";"";"";"";"";
"03.09.2010 14:00";"16.5";"770.0";"774.4";"";"45";"Ветер, дующий с юго-запада";"6";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"4.5";"";"";"";"";"";"";
"03.09.2010 11:00";"14.0";"772.0";"776.4";"";"53";"Ветер, дующий с юго-запада";"4";"";"";"20–30%.";" ";"";"";"2.7";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"4.5";"";"";"";"";"";"";
"03.09.2010 08:00";"9.1";"773.0";"777.4";"";"74";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"4.8";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"03.09.2010 05:00";"5.9";"772.8";"777.2";"";"95";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"5.2";"";"";"";"";"";"";
"03.09.2010 02:00";"4.5";"773.0";"777.5";"";"99";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"4.3";"";"";"";"";"";"";
"02.09.2010 23:00";"3.6";"772.2";"776.7";"";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"12.2";"";"";"";"";"";"10.0";"2.9";"";"";"";"";"";"";
"02.09.2010 20:00";"9.2";"771.7";"776.1";"";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"12.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"4.0";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"02.09.2010 17:00";"11.2";"771.2";"775.6";"";"59";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"3.4";"";"";"";"";"";"";
"02.09.2010 14:00";"11.7";"770.7";"774.9";"";"58";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"3.6";"";"";"";"";"";"";
"02.09.2010 11:00";"10.2";"";"";"";"64";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"3.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"3.8";"";"";"";"";"";"";
"02.09.2010 08:00";"4.7";"769.3";"773.8";"";"99";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"4.5";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"02.09.2010 05:00";"3.9";"767.7";"772.1";"";"99";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.7";"";"";"";"";"";"";
"02.09.2010 02:00";"4.8";"765.7";"770.1";"";"97";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.3";"";"";"";"";"";"";
"01.09.2010 23:00";"6.9";"764.7";"768.8";"";"91";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"12.0";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"5.6";"";"";"";"";"";"";
"01.09.2010 20:00";"7.3";"763.2";"767.6";"";"91";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"12.0";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"5.9";"0.3";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"01.09.2010 17:00";"8.0";"761.1";"765.4";"";"80";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"4.8";"";"";"";"";"";"";
"01.09.2010 14:00";"10.6";"759.4";"763.6";"";"70";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"5.3";"";"";"";"";"";"";
"01.09.2010 11:00";"10.3";"758.2";"762.4";"";"74";"Ветер, дующий с севера";"3";"";"";"100%.";" ";"";"";"7.3";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"5.8";"";"";"";"";"";"";
"01.09.2010 08:00";"9.2";"757.4";"761.6";"";"90";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"7.6";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"01.09.2010 05:00";"8.0";"756.0";"760.3";"";"97";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"7.6";"";"";"";"";"";"";
"01.09.2010 02:00";"8.8";"754.4";"758.7";"";"89";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"31.08.2010 23:00";"11.8";"754.0";"758.2";"";"76";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"24.2";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"31.08.2010 20:00";"16.4";"752.2";"756.3";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"24.2";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"600-1000";"";"";"20.0";"9.7";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"31.08.2010 17:00";"23.4";"750.3";"754.4";"";"44";"Ветер, дующий с западо-северо-запада";"4";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.4";"";"";"";"";"";"";
"31.08.2010 14:00";"23.3";"749.0";"753.3";"";"58";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"600-1000";"";"";"20.0";"14.5";"";"";"";"";"";"";
"31.08.2010 11:00";"22.6";"747.3";"751.4";"";"62";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"14.1";"";"";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"14.9";"";"";"";"";"";"";
"31.08.2010 08:00";"19.9";"746.6";"750.7";"";"64";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"12.8";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"31.08.2010 05:00";"14.4";"746.8";"751.0";"";"84";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"31.08.2010 02:00";"14.4";"748.1";"752.2";"";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"30.08.2010 23:00";"18.0";"749.7";"753.8";"";"86";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"25.7";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"30.08.2010 20:00";"21.3";"751.0";"755.1";"";"80";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"25.7";"";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"17.7";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"30.08.2010 17:00";"25.3";"751.6";"755.7";"";"64";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"18.1";"";"";"";"";"";"";
"30.08.2010 14:00";"23.3";"751.7";"755.8";"";"64";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"16.1";"";"";"";"";"";"";
"30.08.2010 11:00";"18.3";"751.6";"755.8";"";"82";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"14.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"15.1";"0.6";"12";"";"";"";"";
"30.08.2010 08:00";"17.6";"751.6";"755.7";"";"82";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"14.5";"0.6";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"30.08.2010 05:00";"16.7";"751.6";"755.7";"";"81";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"13.5";"";"";"";"";"";"";
"30.08.2010 02:00";"16.4";"751.9";"756.0";"";"79";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"12.8";"";"";"";"";"";"";
"29.08.2010 23:00";"15.1";"753.0";"757.2";"";"91";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"21.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"13.6";"0.3";"12";"";"";"";"";
